#{"t_start": 1756737028.3027878, "env_id": "None"}
r,l,t
56.574913,7,25.764421
58.400597,8,25.841584
73.429221,15,25.924316
80.277512,22,26.008535
50.273847,3,26.081558
72.211773,24,26.168327
57.202241,8,26.248183
62.320445,8,26.327549
72.218277,20,26.423502
83.535332,24,26.510573
53.581285,8,26.587479
64.901637,16,26.672245
64.363168,15,26.755065
68.680254,12,26.832669
73.617196,17,26.919781
74.718116,21,27.005041
90.652174,28,27.095273
49.314677,7,27.166541
49.655812,4,27.23943
60.758382,12,27.316963
50.877206,2,27.387387
53.691705,6,27.492361
50.713787,2,27.597955
53.17676,5,27.678173
50.151625,2,27.756838
62.439349,10,27.834793
68.727108,18,27.93011
49.5,1,28.021852
59.65868,10,28.111206
50.940154,2,28.185754
62.481817,13,28.262869
57.912686,12,28.349591
50.022439,4,28.424263
71.945373,19,28.511653
51.506795,4,28.590818
52.591101,3,28.671378
60.691257,8,28.756682
63.915366,8,28.834569
58.506301,10,28.915316
69.966138,11,29.006221
59.141265,11,29.091751
73.290834,15,29.179201
60.371914,8,29.2565
66.841491,15,29.339021
53.826736,6,29.415702
95.05328,30,29.509419
60.180167,10,29.597507
52.078312,3,29.674182
56.896113,7,29.75316
72.294268,19,29.84423
62.753773,15,29.938552
51.289608,5,30.02563
59.928402,11,30.109547
73.380323,24,30.214773
57.139752,6,30.290758
54.465063,6,30.371568
54.566967,6,30.463212
71.840347,15,30.563427
71.304348,15,30.663762
60.323076,12,30.751776
54.719794,9,30.832172
50.634558,2,30.909042
110.49791,38,31.006161
71.017016,13,31.086289
56.259782,5,31.156056
57.182659,8,31.229876
50.0,1,31.306143
50.811512,2,31.379544
62.531483,24,31.476765
56.94415,9,31.566515
66.408601,10,31.657856
63.955675,14,31.75176
58.581841,14,31.843467
64.511387,10,31.928219
52.092072,2,32.010456
54.305615,4,32.088615
69.096227,13,32.183493
61.149116,10,32.275639
51.277978,2,32.358535
87.137901,19,32.464593
59.442432,11,32.567739
53.575677,7,32.662798
83.675002,18,32.775058
61.259542,12,32.875593
51.73913,3,32.958162
101.726774,27,33.080361
50.0,2,33.159267
49.925713,3,33.241727
74.935897,15,33.323093
58.179924,11,33.50229
71.996074,18,33.596282
53.692385,6,33.670589
73.788025,17,33.754845
52.753575,4,33.826644
66.15942,11,33.905546
53.62749,7,33.993528
60.512754,7,34.082126
52.104462,6,34.192768
80.110865,18,34.295365
54.09281,6,34.380731
51.870817,5,34.458029
48.5,3,34.532583
63.343092,14,34.612921
91.418227,31,34.705598
89.59794,26,34.803178
51.854111,2,34.883374
52.369718,7,34.962909
53.306165,12,35.051448
57.027672,9,35.136545
50.918489,2,35.209924
53.396448,4,35.2788
62.393085,8,35.351529
67.119706,33,35.4449
62.179816,17,35.529095
55.416277,8,35.609108
59.192057,16,35.688596
62.84888,11,35.76419
54.519836,8,35.837467
64.729609,12,35.919663
51.699915,2,35.990538
50.63227,3,36.061141
50.0,4,36.130042
59.466531,11,36.206267
67.215803,19,36.290749
49.0,2,36.358516
69.169363,12,36.434538
52.888037,6,36.503394
61.626744,15,36.583178
58.657005,7,36.655016
70.927166,20,36.741895
50.0,1,36.807339
81.089545,27,36.902459
58.099379,6,36.976311
56.450554,4,37.045392
70.392277,18,37.132532
54.487151,8,37.204613
51.636366,8,37.282426
71.273212,26,37.381586
70.518879,13,37.456587
50.362882,2,37.525393
51.178887,7,37.59636
50.342976,3,37.663671
61.162557,8,37.73806
55.445838,6,37.81071
77.096697,25,37.90064
56.448585,4,37.967687
56.625221,5,38.03985
65.121728,15,38.120096
50.0,1,38.187387
61.509499,13,38.261353
61.049059,9,38.332421
56.734242,13,38.4122
73.211614,14,38.48806
53.270569,6,38.556217
50.378789,3,38.629656
49.5,1,38.699353
51.145104,4,38.765908
57.849267,7,38.836348
64.511387,10,38.910942
55.408877,8,38.980246
54.986818,5,39.048701
60.113387,9,39.122017
51.57956,4,39.194496
51.322535,2,39.262659
54.032015,13,39.344795
53.02695,3,39.41402
55.000173,4,39.48266
85.198406,38,39.577847
55.167918,9,39.653936
54.357611,4,39.722613
62.213723,10,39.802059
64.010823,16,39.879405
78.679875,20,39.961075
66.344605,13,40.037635
72.192949,14,40.115971
57.824172,12,40.188277
66.341599,15,40.266406
50.0,1,40.332259
51.368209,5,40.402454
53.179513,3,40.471368
94.993425,24,40.553429
57.45753,18,40.634436
53.846877,6,40.70649
55.612723,7,40.777138
51.986321,2,40.843814
57.769937,8,40.915834
65.879421,15,40.993303
52.659399,7,41.06277
56.489757,6,41.132123
54.443807,9,41.20585
56.664445,7,41.276547
64.096199,12,41.41677
67.606752,11,41.487062
53.889949,5,41.553003
49.5,1,41.619414
58.344877,7,41.688879
67.2645,15,41.76863
62.524706,12,41.842041
53.613456,4,41.915101
63.329344,9,41.98998
64.90601,9,42.061524
54.188331,12,42.133355
57.604105,14,42.209232
60.36674,9,42.283227
55.371084,7,42.35623
49.940154,4,42.428142
51.85514,14,42.507444
65.554462,17,42.589038
51.446318,8,42.663413
56.168178,6,42.744065
54.306816,9,42.816956
52.641361,5,42.888153
51.986321,3,42.958879
50.980262,6,43.029038
58.622441,10,43.102131
61.167366,16,43.178452
53.804955,7,43.250953
62.169188,14,43.326241
66.806751,17,43.40636
69.738898,18,43.487568
72.477928,24,43.575014
56.648829,6,43.645848
84.839999,28,43.738193
54.701458,5,43.807225
49.932577,4,43.874034
50.0,1,43.939714
84.483051,22,44.023002
60.187461,9,44.098468
50.147357,3,44.174515
53.6271,7,44.246582
53.601972,4,44.312817
65.338371,11,44.38528
49.0,2,44.452375
59.829919,9,44.52339
75.453538,15,44.599185
53.185987,3,44.671015
50.853311,2,44.739416
76.321036,14,44.818239
62.718694,13,44.893559
50.342781,3,44.95958
56.234935,5,45.029382
70.16614,20,45.109857
50.0,2,45.175455
67.034459,11,45.252756
50.520761,3,45.323998
56.772684,9,45.39639
53.518365,5,45.470717
50.90818,2,45.544591
64.502163,15,45.635232
60.486757,11,45.716733
60.912455,9,45.792444
53.42397,5,45.866344
57.49341,10,45.94001
76.774318,15,46.018987
56.439916,4,46.089841
50.802544,2,46.15793
50.0,1,46.224373
56.751223,6,46.298695
50.286262,3,46.369836
52.658838,2,46.439352
58.201341,13,46.521334
52.254618,4,46.593521
56.859717,15,46.689075
51.980811,6,46.762614
49.5,1,46.830305
50.318183,5,46.898784
58.846908,13,46.97859
49.5,1,47.043067
49.0,2,47.110901
49.958585,3,47.180447
56.173583,8,47.250718
52.601591,3,47.321024
49.5,1,47.388324
51.674678,4,47.456327
53.474405,5,47.530077
53.887386,6,47.603751
67.663277,14,47.689914
52.86697,5,47.764904
64.336259,12,47.84853
49.5,1,47.913978
60.724638,9,47.984576
52.521343,9,48.061002
58.449554,6,48.1344
76.288882,25,48.226019
69.275362,15,48.307306
54.119733,9,48.386126
58.4722,6,48.457418
56.564021,9,48.532479
67.402346,11,48.608977
63.344802,13,48.684022
91.808936,29,48.775766
55.475264,10,48.850727
61.741588,17,48.927376
56.491334,12,49.001356
49.0,2,49.066386
50.0,1,49.131503
55.83956,8,49.202212
49.631086,3,49.270897
55.116136,7,49.34363
50.0,1,49.408582
72.326706,15,49.487361
60.33399,14,49.562786
60.705471,7,49.634282
61.157158,9,49.70897
65.341926,14,49.788736
58.85756,11,49.862078
50.944581,4,49.935657
59.585684,8,50.006566
59.078237,8,50.078209
61.829133,15,50.21917
67.536232,13,50.292136
60.755734,10,50.363797
59.644928,8,50.432297
63.570838,14,50.513365
58.587182,8,50.588427
53.539126,7,50.66692
