#{"t_start": 1757029602.5628307, "env_id": "None"}
r,l,t
-63.948375,50,8.560956
6.775791,23,10.292034
1.027039,23,12.00135
-38.948375,39,15.248738
-0.645791,27,17.715274
31.051625,11,18.871172
-38.258181,39,22.232171
19.157299,18,23.959522
30.820806,10,24.954551
28.29429,12,26.122455
10.836719,19,27.939655
5.96505,21,29.92378
28.401239,11,30.981178
0.911559,22,32.901206
15.63589,17,34.500746
5.870159,20,36.549244
21.340747,16,38.336937
18.494759,16,39.980368
-21.889121,32,43.119751
-3.948375,25,45.445728
-2.923301,27,47.796752
-75.822631,58,53.061403
8.46481,20,54.555723
-5.452627,27,56.478309
38.551625,7,57.082094
50.0,1,57.301792
8.215519,20,58.774985
-134.355995,53,62.392244
-0.744271,28,64.358962
-58.952482,48,67.738797
36.051625,10,68.553709
-18.116791,33,71.497137
-15.40762,33,74.741672
23.595103,15,76.455815
-3.948375,25,79.044921
20.775239,14,80.571029
36.040755,8,81.518061
13.246359,18,83.402137
-28.948375,35,86.888512
21.106276,16,88.625281
28.540755,12,89.958386
9.172806,20,92.056484
10.745479,18,93.981668
13.540755,18,95.977216
-35.426373,40,99.940674
-117.557826,44,104.456606
28.11901,13,105.94272
-1.459245,24,108.522681
-21.706961,32,112.009974
49.67112,1,112.364156
-67.90762,54,117.869969
-31.702441,35,121.471231
-19.24183,31,124.657124
-6.459245,29,127.824824
0.99145,23,130.302763
-6.459245,27,133.16906
45.74077,5,133.909989
-57.90762,49,138.913492
15.84429,16,140.72509
-8.959245,27,143.655702
-28.933975,36,147.454015
41.051625,6,148.286913
-2.913802,27,151.186497
18.551625,16,152.921499
-20.39675,34,156.54187
0.830319,22,158.931034
36.051625,9,160.059203
-6.871601,26,162.872748
19.265769,19,164.999172
18.262319,16,166.81505
28.551625,12,168.291959
-44.842026,42,172.620586
6.187494,21,174.851207
-8.689244,28,177.769054
38.540755,7,178.663615
28.540755,11,179.941488
43.158879,6,180.729732
49.65936,1,181.035821
-46.269524,43,185.245666
11.751209,21,187.568062
43.551625,5,188.224456
-6.455961,25,190.803886
23.50957,14,192.40043
16.03681,17,194.303349
-77.439073,28,197.283425
35.933399,8,198.279006
20.740319,14,199.875803
49.92564,1,200.209864
-35.841671,40,204.269392
23.551625,14,205.832729
-15.441757,32,209.081078
-10.424231,29,212.118793
45.57921,4,212.71471
-21.459245,32,216.170233
-15.864711,32,219.573875
-0.861231,26,222.3278
50.0,1,222.665797
3.551625,22,225.053585
-29.098321,36,228.737652
-97.919254,65,235.385134
20.58369,15,237.089222
49.9008,1,237.435954
-34.354041,38,241.389642
49.6672,2,241.842476
8.336079,19,244.01163
25.70213,13,245.538319
-34.39539,38,249.546136
1.005766,24,252.16276
-35.40762,41,256.429664
-85.845061,61,262.782333
50.0,1,263.178149
-8.959245,27,266.121169
36.022002,9,267.25538
-85.654471,60,273.267998
33.220294,9,274.370275
7.09238,22,276.806321
15.282603,17,278.742531
-15.418489,32,282.120045
-89.345309,35,285.742474
-74.423505,27,288.636298
-31.448375,37,292.349518
28.430319,12,293.743372
38.315479,8,294.773639
23.522002,14,296.348516
49.89744,1,296.667452
-21.448375,33,299.968476
39.428638,10,301.217197
43.48617,6,301.982472
31.040755,11,303.219279
-3.938964,26,305.928441
18.551625,15,307.554852
8.540755,20,309.622655
31.040755,11,310.855945
-36.459245,38,314.655033
-6.459245,27,317.437889
-16.83279,30,320.475094
-66.49827,49,325.521809
4.59238,23,327.991716
5.761959,21,330.218898
-6.679481,26,333.049509
8.540755,20,335.306361
23.551625,14,336.996691
28.540755,13,338.593193
39.018758,9,339.749466
38.401359,7,340.676337
23.452759,14,342.298872
28.069839,12,343.767708
36.029121,9,344.920877
-42.984551,43,349.45097
28.46445,12,350.830304
49.44884,1,351.169761
-44.423505,15,352.904436
10.78337,19,354.950236
16.040755,17,356.861269
23.44509,13,358.398802
40.56433,6,359.186032
49.54344,1,359.525528
35.696633,8,360.555008
-84.366865,33,363.988037
20.682519,15,365.74781
24.59238,17,367.688748
-114.345309,45,372.229393
31.051625,10,373.464507
20.902599,15,375.14409
-35.687711,40,379.215314
-86.448375,58,385.290067
-50.40762,46,389.877094
49.5786,1,390.172808
16.051625,16,391.91837
-30.592511,39,395.879807
-50.046957,17,397.721088
-132.221682,50,402.627172
-79.939073,29,405.610648
36.051625,9,406.709205
-20.796282,36,410.439677
18.151279,18,412.498701
-14.44447,30,415.758335
-33.167141,39,419.84057
-38.226871,43,424.316938
-16.448375,29,427.422731
15.792359,18,429.528064
-94.423123,35,433.290792
22.062758,16,435.107995
32.829593,10,436.367718
-55.39675,48,441.384325
17.09238,19,443.534199
-0.434256,25,446.230569
26.040755,13,447.747632
3.347399,22,450.199974
-33.239122,39,454.3436
0.937159,23,456.889492
8.544159,19,459.004321
-55.40762,49,463.983631
-53.332311,47,468.818868
-16.839801,30,472.013446
11.292756,20,474.165554
-12.89675,32,477.320831
-15.445125,31,479.685575
13.540755,18,481.10461
33.741951,11,482.039069
31.029121,11,483.027584
40.80497,7,483.694448
-91.438521,60,488.131745
21.866289,17,489.474898
-16.66731,30,491.751565
46.039239,4,492.19858
4.566889,23,493.969152
40.863217,6,494.554793
49.8066,1,494.795033
28.518252,11,495.712799
-30.841071,38,498.634447
49.09976,2,498.933083
40.59325,6,499.516703
35.976279,9,500.340457
-33.959245,37,503.092242
11.040755,19,504.625825
-10.40762,29,506.786312
-8.959245,27,508.845463
-48.483994,45,512.232172
49.66512,1,512.464234
-16.933824,30,514.72122
-42.90762,45,518.233621
-3.014671,27,520.278021
-4.05067,25,522.162399
26.032872,12,523.159505
16.040755,16,524.476745
5.456224,21,526.211393
38.540755,8,526.93927
-30.40762,37,529.669683
-95.643722,64,534.270457
45.93105,4,534.754749
11.021566,18,536.895671
-30.594762,38,540.28222
-30.40762,38,543.621911
33.270239,10,544.595927
49.90404,1,544.892733
-51.923505,18,546.785305
-32.918489,40,550.613155
43.511319,6,551.367265
28.521796,13,552.779504
18.388679,16,554.457786
-47.89675,45,558.583129
38.46213,7,559.303943
23.551625,14,560.664408
-9.015041,28,563.364205
5.99913,21,565.215596
16.040755,17,566.898148
14.562758,20,568.771138
26.040755,13,569.935332
-41.399032,41,573.315006
-80.885381,59,578.325214
27.058243,14,579.75144
30.582119,12,581.054615
-126.911871,48,585.434892
-15.464391,32,588.403409
-70.680701,54,592.850689
1.040755,23,594.899169
-107.90762,69,600.620777
-50.368696,18,602.319092
5.690534,20,604.181245
-44.434375,16,605.74403
28.143999,12,606.977513
49.94424,1,607.252155
15.733759,17,608.843071
43.518617,5,609.49772
41.040755,7,610.337898
-4.017241,25,612.705974
-3.372031,27,615.273713
-55.881111,49,619.473839
27.10325,15,621.042457
31.051625,11,622.32568
-46.448375,42,626.407468
-69.901568,26,628.999136
31.051625,11,630.242586
10.340923,19,632.439325
25.601159,13,634.024097
-85.426373,61,640.250386
38.32657,8,641.28005
38.551625,6,642.062281
25.71713,13,643.474893
-11.856961,28,647.19249
49.88052,1,647.537067
8.879769,24,649.996442
45.613353,4,650.610979
-32.002306,36,654.208248
-30.39675,38,657.903109
-37.89675,41,662.070463
26.051625,13,663.600982
45.99765,4,664.210131
8.45469,19,666.254347
50.0,2,666.698993
6.04501,22,669.035879
13.159239,18,670.962835
-15.975718,32,674.34553
0.67837,23,676.847945
-55.703741,48,681.722275
-3.247831,27,684.574836
-57.900522,48,689.478168
8.192039,21,691.761647
-38.948375,39,695.787156
23.37837,13,697.328211
31.040755,11,698.634614
33.23693,10,699.887457
3.206999,22,702.262979
-28.111271,37,706.018481
35.689839,9,707.090379
8.231639,21,709.380446
-8.948375,27,712.138868
-45.809031,44,716.657947
-46.448375,43,721.135225
18.42753,17,723.059403
46.029121,6,723.918504
5.717319,21,726.274751
13.316879,17,728.186411
-32.952627,38,732.183819
3.454079,22,734.597651
38.246719,8,735.642352
23.22253,14,737.293477
-59.267161,48,742.165538
-101.923505,38,746.191073
-29.381681,35,749.8115
-59.355995,23,752.340729
24.581511,16,754.195639
23.748227,15,755.900536
-13.948375,29,759.022253
6.336442,22,761.414883
40.445014,6,762.236088
6.029121,20,764.433232
38.470816,8,765.476353
-51.912253,18,767.520572
5.874199,22,769.91549
33.551625,12,771.33469
25.683239,13,772.881977
10.668399,20,775.083731
28.551625,12,776.545436
28.393959,12,777.987871
-18.948375,31,781.176216
36.00905,8,782.19464
10.899319,18,784.16498
-26.459245,33,787.640473
30.938719,11,788.926325
35.973959,8,789.939465
10.306294,19,792.031725
6.745758,23,794.49492
-42.90762,43,799.010774
