#{"t_start": 1756733394.143217, "env_id": "None"}
r,l,t
55.895955,8,4.150466
56.488933,5,4.221534
71.165048,20,4.301572
56.768051,9,4.376955
81.943761,19,4.453428
63.309048,10,4.539601
57.101449,6,4.609836
58.894132,5,4.677391
59.917472,10,4.750031
59.525301,9,4.821935
61.709947,10,4.895742
69.459635,15,4.970665
54.323774,6,5.041528
78.393773,28,5.129857
68.166208,11,5.2019
61.592259,13,5.277322
80.110865,16,5.353073
72.979628,17,5.431896
76.234596,13,5.505579
60.256346,6,5.574826
72.249245,15,5.653112
55.851946,8,5.723551
115.030757,26,5.808662
51.811594,2,5.876908
54.125485,16,5.953548
53.479211,4,6.022938
53.302392,9,6.096973
57.101449,6,6.165375
55.818841,5,6.235373
71.998369,24,6.320303
52.196547,4,6.389681
83.366351,31,6.47533
58.124564,8,6.546105
53.743133,3,6.612846
68.090842,15,6.688181
49.5,1,6.755465
122.681159,43,6.851091
96.861929,33,6.94063
57.188905,9,7.012727
57.946644,8,7.081697
66.410923,14,7.156005
50.0,1,7.219298
53.666743,3,7.285466
62.07226,10,7.357983
53.592284,6,7.425973
70.176233,16,7.500374
68.752114,16,7.578566
58.154378,7,7.648782
50.0,1,7.711143
71.071295,11,7.781363
51.949313,4,7.849513
52.480117,4,7.917069
66.597826,9,7.98812
56.35864,12,8.061889
78.70821,24,8.147108
91.374506,22,8.229403
55.721225,6,8.299923
67.770749,20,8.376408
63.300879,9,8.447517
51.96896,4,8.514299
71.01084,16,8.591468
87.492949,21,8.673439
54.188008,3,8.743005
50.0,1,8.805793
97.346191,34,8.895334
67.711076,17,8.972828
58.890705,10,9.047101
55.289855,5,9.117347
58.910878,7,9.191865
73.121218,14,9.266667
82.254319,25,9.348761
64.469456,17,9.424333
57.541185,7,9.494624
63.88123,12,9.571027
61.456537,9,9.639922
49.5,1,9.706478
51.226961,4,9.772568
50.30325,4,9.841133
57.492062,16,9.916583
54.785876,6,9.983027
50.982633,2,10.044957
51.442939,3,10.110976
52.246489,7,10.178224
58.205077,6,10.249029
53.373188,5,10.315236
74.889062,25,10.401569
57.028986,6,10.467878
100.284752,39,10.630219
60.880435,10,10.701944
52.457336,4,10.767582
82.166489,29,10.850689
68.361503,12,10.922684
66.373785,20,11.000043
84.716356,20,11.078312
75.848268,18,11.158061
86.013491,24,11.237741
63.679119,12,11.309337
52.20842,2,11.374964
54.416839,4,11.441193
91.725059,29,11.526614
58.530111,9,11.599638
65.530031,15,11.677405
55.227376,7,11.747697
58.872334,11,11.819597
60.705471,7,11.888709
55.935584,5,11.95956
76.449275,18,12.035501
83.258461,26,12.116865
49.5,1,12.178747
78.16616,23,12.259594
58.382236,9,12.33269
69.633046,21,12.413457
60.368187,12,12.485432
72.549533,22,12.563921
62.322628,9,12.633145
64.893574,18,12.70902
107.509662,30,12.794246
54.027755,6,12.863272
69.345756,12,12.935211
50.0,1,12.998446
76.947206,19,13.074194
60.17219,14,13.1506
78.268116,22,13.231222
55.721225,5,13.298429
55.516774,4,13.364151
51.216959,4,13.435058
52.178723,4,13.503484
65.33784,9,13.573
56.234695,7,13.641127
60.122916,12,13.71564
53.552493,6,13.782527
51.629417,4,13.851919
59.204714,9,13.922665
61.921524,11,13.993812
85.390705,34,14.080875
55.495319,5,14.15262
61.010361,15,14.229153
59.921211,8,14.303622
90.814216,26,14.39276
70.150429,11,14.466352
60.56717,12,14.541795
57.246377,6,14.607522
55.362319,5,14.674685
51.875755,5,14.743555
58.125408,8,14.813249
54.326663,8,14.882553
61.174995,14,14.956914
49.5,1,15.022052
63.418654,10,15.094024
62.253552,8,15.162785
54.433725,6,15.231325
107.540552,39,15.326428
129.710145,49,15.42618
55.857821,6,15.4933
65.049075,12,15.562874
72.446514,13,15.635746
58.908836,9,15.70348
54.999628,8,15.770232
67.271282,14,15.8397
90.708951,23,15.922373
52.4826,3,15.988532
64.747897,15,16.063059
58.69682,14,16.137725
67.765969,15,16.210778
64.675195,11,16.280019
77.769902,23,16.358723
60.457575,11,16.491008
87.739908,21,16.569957
61.950237,11,16.641682
62.318841,10,16.711887
60.217276,14,16.784086
58.745407,10,16.855928
70.067202,14,16.929582
59.556054,10,16.997935
58.290546,5,17.065845
64.284976,10,17.137152
63.881351,10,17.206659
66.440158,13,17.276665
78.223936,13,17.349774
59.664904,8,17.418548
61.536833,12,17.491121
75.362183,16,17.563512
55.113493,10,17.632842
57.598682,8,17.705286
53.550725,4,17.770189
86.429548,26,17.852224
52.520817,6,17.922107
51.869718,8,17.991631
50.0,1,18.054374
62.250215,9,18.123863
50.811512,2,18.19032
50.927554,2,18.254752
54.299738,5,18.322061
75.729049,26,18.408175
66.283929,15,18.483512
61.218069,16,18.558666
52.285867,3,18.625606
57.536177,9,18.696155
55.760921,10,18.765321
68.946006,12,18.845351
62.327274,7,18.914428
51.524818,3,18.978174
49.5,1,19.039386
56.575569,7,19.107247
55.295723,11,19.177927
56.643058,7,19.248003
60.640849,8,19.318188
54.691211,8,19.389026
58.761566,8,19.46693
62.8956,14,19.559498
65.651956,11,19.635031
72.072484,14,19.714363
76.820771,19,19.795335
55.080368,10,19.871203
53.765637,3,19.945126
66.154161,12,20.021422
53.056884,5,20.09703
54.131607,8,20.168188
77.640807,20,20.249193
52.358785,6,20.32972
56.983822,8,20.398623
68.833131,12,20.469473
53.940633,4,20.53748
57.690777,13,20.610576
50.674251,4,20.674088
69.263841,14,20.747705
64.99318,8,20.817036
53.668827,7,20.887593
56.692772,9,20.958596
109.016346,30,21.049169
75.156324,15,21.127465
51.801229,3,21.193744
52.021622,5,21.261106
80.81236,29,21.343669
61.274945,9,21.414423
59.908611,17,21.490734
74.675129,16,21.566414
58.59666,7,21.634922
85.152447,23,21.712477
88.077261,22,21.793596
97.480033,18,21.874987
58.367944,10,21.945778
54.073188,6,22.01183
52.947977,4,22.075841
51.881928,4,22.143155
54.717485,7,22.212859
59.686932,10,22.28162
67.380667,14,22.352191
56.051249,5,22.42225
59.17772,6,22.490516
52.163373,2,22.5576
53.080368,14,22.63012
97.93375,30,22.714486
65.459153,16,22.788795
61.957047,19,22.862329
93.405934,23,22.941374
52.124989,3,23.006099
76.431283,18,23.079622
66.014476,19,23.155281
76.053824,14,23.287544
68.620249,13,23.360986
53.306758,4,23.426982
54.488762,4,23.490213
70.00069,15,23.563918
56.574913,7,23.631771
58.400597,8,23.700472
73.429221,15,23.777699
80.277512,22,23.857736
50.273847,3,23.923298
72.211773,24,24.003216
57.202241,8,24.072389
62.320445,8,24.142968
72.218277,20,24.221311
83.535332,24,24.304156
53.581285,8,24.375045
64.901637,16,24.447786
64.363168,15,24.521325
68.680254,12,24.59237
73.617196,17,24.667257
74.718116,21,24.74628
90.652174,28,24.828298
49.314677,7,24.897341
49.655812,4,24.962338
60.758382,12,25.035142
50.877206,2,25.102926
53.691705,6,25.17059
50.713787,2,25.235435
53.17676,5,25.300202
50.151625,2,25.36442
62.439349,10,25.435395
68.727108,18,25.511291
49.5,1,25.57457
59.65868,10,25.648439
50.940154,2,25.710567
62.481817,13,25.780982
57.912686,12,25.852595
50.022439,4,25.922336
71.945373,19,25.997852
51.506795,4,26.06572
52.591101,3,26.13302
60.691257,8,26.201392
63.915366,8,26.2725
58.506301,10,26.343832
69.966138,11,26.418882
59.141265,11,26.489131
73.290834,15,26.561414
60.371914,8,26.637129
66.841491,15,26.715211
53.826736,6,26.783942
95.05328,30,26.870136
60.180167,10,26.943053
52.078312,3,27.01251
56.896113,7,27.084112
72.294268,19,27.167662
62.753773,15,27.251681
51.289608,5,27.324008
59.928402,11,27.406158
73.380323,24,27.496914
57.139752,6,27.569833
54.465063,6,27.643052
54.566967,6,27.718942
71.840347,15,27.795049
71.304348,15,27.868471
60.323076,12,27.940757
54.719794,9,28.008318
50.634558,2,28.071471
110.49791,38,28.162044
71.017016,13,28.232321
56.259782,5,28.297271
57.182659,8,28.364237
50.0,1,28.425121
50.811512,2,28.488136
62.531483,24,28.570796
56.94415,9,28.645048
66.408601,10,28.713649
63.955675,14,28.787342
58.581841,14,28.859472
64.511387,10,28.931153
52.092072,2,28.996966
54.305615,4,29.065152
69.096227,13,29.134498
61.149116,10,29.204252
51.277978,2,29.268223
87.137901,19,29.344774
59.442432,11,29.416191
53.575677,7,29.484276
83.675002,18,29.56386
61.259542,12,29.639251
51.73913,3,29.706502
101.726774,27,29.787482
50.0,2,29.85294
49.925713,3,29.917557
74.935897,15,29.990143
58.179924,11,30.122561
71.996074,18,30.200906
53.692385,6,30.26942
73.788025,17,30.346425
52.753575,4,30.4144
66.15942,11,30.482943
53.62749,7,30.552309
60.512754,7,30.6182
52.104462,6,30.684507
80.110865,18,30.757351
54.09281,6,30.828817
51.870817,5,30.894682
48.5,3,30.957164
63.343092,14,31.026994
91.418227,31,31.112006
89.59794,26,31.196817
51.854111,2,31.264788
52.369718,7,31.339775
53.306165,12,31.414338
57.027672,9,31.487661
50.918489,2,31.553729
53.396448,4,31.617352
62.393085,8,31.684106
67.119706,33,31.768123
62.179816,17,31.844365
55.416277,8,31.914858
59.192057,16,31.987348
62.84888,11,32.056235
54.519836,8,32.126347
64.729609,12,32.20093
51.699915,2,32.265029
50.63227,3,32.328594
50.0,4,32.39192
59.466531,11,32.461614
67.215803,19,32.540771
49.0,2,32.605173
69.169363,12,32.678089
52.888037,6,32.743567
61.626744,15,32.816622
58.657005,7,32.883527
70.927166,20,32.968936
50.0,1,33.034897
81.089545,27,33.124339
58.099379,6,33.198003
56.450554,4,33.26375
70.392277,18,33.340704
54.487151,8,33.411828
51.636366,8,33.486961
71.273212,26,33.574476
70.518879,13,33.648904
50.362882,2,33.724925
51.178887,7,33.791816
50.342976,3,33.860663
61.162557,8,33.931318
55.445838,6,34.000498
77.096697,25,34.0847
56.448585,4,34.151891
56.625221,5,34.220509
65.121728,15,34.297794
50.0,1,34.36593
61.509499,13,34.437197
61.049059,9,34.504658
56.734242,13,34.579076
73.211614,14,34.652959
53.270569,6,34.71841
50.378789,3,34.781359
49.5,1,34.843175
51.145104,4,34.906753
57.849267,7,34.972117
64.511387,10,35.039804
55.408877,8,35.108893
54.986818,5,35.174365
60.113387,9,35.244212
51.57956,4,35.310076
51.322535,2,35.37356
54.032015,13,35.445479
53.02695,3,35.513847
55.000173,4,35.579644
85.198406,38,35.671644
55.167918,9,35.744193
54.357611,4,35.809578
62.213723,10,35.880302
64.010823,16,35.954139
78.679875,20,36.02897
66.344605,13,36.102427
72.192949,14,36.175123
57.824172,12,36.243854
66.341599,15,36.315106
50.0,1,36.378049
51.368209,5,36.440471
53.179513,3,36.507741
94.993425,24,36.586143
57.45753,18,36.660888
53.846877,6,36.724939
55.612723,7,36.792032
51.986321,2,36.856071
57.769937,8,36.922918
65.879421,15,36.995178
52.659399,7,37.061382
56.489757,6,37.128114
54.443807,9,37.194379
56.664445,7,37.26062
64.096199,12,37.38522
67.606752,11,37.458789
53.889949,5,37.521442
49.5,1,37.58396
58.344877,7,37.648316
67.2645,15,37.722865
