#{"t_start": 1756937286.6822786, "env_id": "None"}
r,l,t
-73.668489,30,500.688957
-88.471923,33,503.182765
-73.461053,27,505.203064
-73.568489,28,507.477881
-98.526373,37,510.156492
-78.50762,29,512.26907
-34.83769,9,513.07783
-128.461053,49,516.642731
-45.963496,14,517.817017
-118.461053,45,521.395686
-43.463496,13,522.506618
-43.161053,14,523.787603
-80.400184,29,526.441927
-96.04675,37,530.748579
-31.018489,10,532.027544
-44.95606,13,533.661609
-34.848559,9,534.72949
-73.452627,25,537.417186
-80.421923,29,540.24419
-117.911053,44,544.306681
-84.011053,32,547.288229
-40.968937,14,548.852283
-96.05762,37,552.541612
-85.411053,31,555.852415
-70.421923,25,558.660454
-165.961053,64,564.858147
-101.04675,39,568.797862
-108.54675,42,573.166233
-53.615503,21,575.566632
-38.679806,12,576.99
-43.49675,15,578.802348
-71.65606,25,582.1882
-65.400184,23,584.883341
-66.026373,24,588.248685
-40.411053,13,589.895226
41.051625,5,590.68863
-90.400184,33,595.077586
-39.011053,14,596.960094
-55.411053,19,598.981499
-45.183557,14,600.913423
-39.95606,11,602.523684
-43.148559,13,604.135297
-101.05762,39,607.611881
-148.618489,59,613.02696
-73.65762,30,616.546674
-55.411053,19,618.659148
-65.400184,23,621.039858
-103.55762,40,625.290838
-67.900184,24,628.871317
-65.961053,24,631.92399
-72.672687,25,635.200164
-55.961053,20,637.665864
-47.911053,16,639.516242
-72.900184,26,642.216966
-65.971923,24,644.776531
-100.433557,37,648.586548
-66.00762,24,651.071111
-82.911053,30,654.027263
-28.60762,11,655.285982
-90.950184,34,658.74437
-72.911053,26,661.66466
-90.400184,33,665.058891
-122.911053,46,669.592891
-118.471923,45,674.140795
-148.50762,57,679.815823
-128.450184,49,684.426936
-118.568489,46,688.52028
-85.411053,31,691.357852
-55.941757,18,693.0732
-131.511053,51,697.852355
-168.461053,65,703.918848
-128.441757,47,708.132078
-82.900184,30,710.825279
-201.871923,84,718.070812
-199.900184,84,725.354805
-158.471923,61,730.560575
-40.991757,13,731.848164
-203.909337,84,739.134217
-113.50762,43,743.383299
-51.00762,18,745.166988
-84.748559,31,748.069652
-63.50762,23,750.127968
-43.200184,17,751.738659
-37.33769,10,752.758597
-210.969254,81,759.448434
-160.422687,61,764.945954
-73.445125,25,767.581121
-155.411053,59,772.966631
-118.526373,45,777.0746
-157.921923,60,782.338546
-201.861053,84,789.363374
-143.50762,55,794.417128
-147.911053,56,799.068453
-106.05762,41,802.696453
-73.450184,27,805.216722
-95.411053,35,808.76941
-203.998375,84,815.976718
-119.571923,47,820.094765
-201.861053,84,827.234999
-33.148559,9,828.192666
-199.900184,84,835.535576
-38.49675,13,836.86713
-78.461053,29,839.639189
-115.933707,46,843.789728
-165.961053,64,849.505413
-155.983557,60,854.933582
-100.421923,37,858.288035
-102.911053,38,861.570484
-88.198559,32,864.242301
-151.511053,59,869.052735
-168.60762,67,874.383922
-163.540993,63,879.630565
-163.50762,63,884.734815
-118.54675,46,889.123574
-46.04675,17,890.916364
-129.15606,48,895.512805
-100.411053,37,899.347251
-110.411053,41,903.560331
-157.911053,60,909.858156
-194.011053,76,917.167683
-201.850184,84,924.59551
-52.348559,16,926.278916
-207.911053,80,933.227468
-201.861053,84,940.403718
-200.44675,84,947.630237
-100.952627,36,950.84759
-63.518489,23,953.323211
-81.05762,31,956.598244
-116.20762,48,961.46926
-123.50762,47,966.160693
-152.911053,58,972.006378
-49.848559,15,973.680309
-150.368937,56,978.997154
-125.411053,47,983.374726
-152.900184,58,989.186575
-197.911053,76,996.077759
-206.00762,80,1003.518028
-58.502627,20,1005.725843
-72.348559,24,1008.166097
-215.961053,84,1015.969921
-159.95606,59,1021.489755
-137.900184,52,1026.101282
-104.571923,41,1029.572818
-28.495125,8,1030.482804
-80.99675,30,1033.13468
-42.95519,42,1036.826881
-86.00762,32,1039.485775
-205.411053,79,1045.69154
-145.961053,56,1050.309217
-57.061053,22,1052.337785
-57.911053,20,1054.244924
-154.011053,60,1059.40009
-141.00762,54,1064.424678
-93.452627,33,1067.51335
-160.99675,62,1072.550504
-127.911053,48,1076.527965
-200.45762,84,1083.371453
-115.411053,43,1087.222764
-76.00762,28,1089.870057
-157.900184,60,1095.057112
-204.348559,84,1102.539967
-141.00762,54,1107.288369
-90.971923,34,1110.187921
-203.909337,84,1116.735217
-120.411053,45,1120.646367
-121.045191,45,1124.341247
-102.921923,38,1127.697265
-83.568489,32,1130.385975
-52.33769,16,1131.89342
-130.400184,49,1135.862083
-97.929806,36,1138.978894
-105.950184,40,1142.330523
-168.461053,65,1147.885971
-97.933557,36,1151.099432
-88.50762,33,1154.109293
-53.445125,17,1155.76629
-206.05762,81,1162.58406
-58.461053,21,1164.51961
-201.850184,84,1172.554368
-88.00606,31,1175.732795
-138.450184,53,1180.880367
-127.911053,48,1184.875054
-201.883557,84,1191.33886
-157.921923,60,1195.829189
-85.950184,32,1198.395442
-200.502627,84,1204.755645
-115.183557,42,1208.214444
-148.979806,57,1212.934273
-138.480123,52,1217.287893
-75.411053,27,1219.491828
-202.95762,84,1226.140032
-103.50762,39,1229.476346
-52.911053,18,1231.150073
-102.933557,38,1234.300207
-183.49675,71,1240.388181
-66.05762,25,1242.793223
-155.379806,58,1248.10315
-110.421923,41,1251.742831
-160.121923,60,1257.053746
-206.11722,84,1264.254546
-215.411053,83,1271.372265
-152.911053,58,1276.428511
-123.54675,48,1280.788261
-107.900184,40,1284.204863
-122.900184,46,1287.926113
-100.971923,38,1291.151788
-86.00762,32,1294.035739
-151.500184,59,1298.954115
-203.898467,84,1305.557671
-67.46693,22,1307.650635
-173.60762,69,1313.585013
-200.45762,84,1321.002122
-78.518489,29,1323.50706
-115.400184,43,1327.269452
-101.068489,39,1330.82738
-87.900184,32,1333.753147
-200.961053,78,1340.066491
-100.400184,37,1343.057661
-147.900184,56,1347.919805
-48.441757,15,1349.386175
-58.630123,23,1351.613632
-102.911053,38,1354.980183
-199.011053,78,1361.710019
-183.461053,71,1368.202848
-157.359429,58,1373.466535
-59.848559,19,1375.332117
-203.898467,84,1382.586477
-160.400184,61,1388.228962
-35.411053,11,1389.765595
-28.450184,9,1391.033706
-46.018489,16,1392.650114
-28.461053,9,1393.701404
-25.909794,8,1394.614567
-28.164756,7,1395.49405
-27.921923,8,1396.499846
-30.950184,10,1397.561122
-29.021923,10,1398.665273
-23.495125,6,1399.481513
-24.945191,5,1400.22491
-35.411053,11,1401.428933
-28.50762,9,1402.404437
-23.502627,6,1403.193636
-30.961053,10,1404.316046
-25.80606,6,1405.116328
-32.900184,10,1406.194934
-30.411053,9,1407.176362
-26.068489,9,1408.078201
-25.411053,7,1408.883212
-30.411053,9,1409.893486
-32.900184,10,1411.001048
-32.922687,10,1412.022527
-27.911053,8,1412.914701
-26.10762,10,1414.024486
-25.648559,6,1414.8233
-35.971923,12,1416.048708
-41.00762,14,1417.504527
-28.55762,10,1418.600543
-28.471923,9,1419.642067
-23.563496,7,1420.462137
-29.021923,10,1421.518606
-29.011053,10,1422.575149
-23.476373,6,1423.323344
-35.99675,12,1424.546535
-25.422687,7,1425.305446
-23.75762,12,1426.667015
-26.500184,9,1427.612998
-30.984256,9,1428.513467
-30.961053,10,1429.593598
-25.950184,8,1430.509546
-26.500184,9,1431.610428
-30.961053,10,1432.626893
-26.05762,9,1433.590979
-31.080123,11,1434.758851
-33.49675,11,1435.866363
-27.921923,8,1436.713286
-25.411053,7,1437.506002
-23.434256,5,1438.132983
-23.452627,5,1438.778318
-33.49675,11,1439.856981
-37.911053,12,1441.035939
-27.911053,8,1441.864519
-29.000184,10,1442.914632
-33.471923,11,1443.978601
-23.50762,7,1444.712428
-26.09675,10,1445.715348
-24.95606,5,1446.308532
-32.445191,8,1447.131036
-32.921923,10,1448.109419
-25.411053,7,1448.860284
-25.99675,8,1449.716451
-33.450184,11,1450.751788
-23.434256,5,1451.400986
-30.411053,9,1452.273348
-34.011053,12,1453.397042
-25.78714,8,1454.254415
-23.441757,5,1454.879224
-28.50762,9,1455.822175
-23.455995,5,1456.593056
-28.533557,8,1457.467443
-26.05762,9,1458.410871
-35.971923,12,1459.66966
-23.49675,7,1460.538649
-27.329806,6,1461.325703
-30.648559,8,1462.255718
-30.99675,10,1463.376714
-26.05762,9,1464.436715
-28.618489,11,1465.717991
-31.018489,10,1466.83106
-33.50762,11,1468.075499
-33.461053,11,1469.260304
-32.921923,10,1470.387529
-31.500184,11,1471.714899
-31.04675,11,1472.981964
-36.511053,13,1474.376567
-38.50762,13,1475.83867
-35.950184,12,1477.19771
-36.011053,14,1478.721408
-35.961053,12,1480.029598
-30.980123,9,1480.984029
-26.018489,8,1481.881491
-25.411053,7,1482.658485
-30.400184,9,1483.549873
-31.045191,9,1484.592964
-27.921923,8,1485.531539
-38.518489,13,1487.018511
-27.900184,8,1487.887493
-33.450184,11,1488.924963
-23.626373,9,1489.789898
-29.021923,10,1490.73928
-23.568489,8,1491.503544
-25.950184,8,1492.32804
-27.911053,8,1493.101444
-33.450184,11,1494.053364
