station_id,latitude,longitude,company_id,charger_type,rated_power_kw,station_connectors,operator_name
184fd7ecdd7b465a16a83afdabfd15c5,51.536992,-0.125316,11,Slow,7.0,"('Type2',)",POD Point
9f73acb5c4142794bb97dfdb4585c560,51.537245,-0.125179,10,Slow,7.0,"('Type2',)",POD Point
9f73acb5c4142794bb97dfdb4585c560,51.537245,-0.125179,11,Slow,7.0,"('Type2',)",POD Point
fa571e649aeb8ad04cbb24aadafadb1e,51.540259,-0.141412,10,Slow,7.0,"('Type2',)",POD Point
fa571e649aeb8ad04cbb24aadafadb1e,51.540259,-0.141412,11,Slow,7.0,"('Type2',)",POD Point
6d99bcd116b9e12ff6f859b399c04b97,51.540221,-0.141349,10,Slow,7.0,"('Type2',)",POD Point
6d99bcd116b9e12ff6f859b399c04b97,51.540221,-0.141349,11,Slow,7.0,"('Type2',)",POD Point
18c6c4a1ac002a391f90c62a8da3ba99,51.534122,-0.108674,10,Slow,7.0,"('Type2',)",POD Point
18c6c4a1ac002a391f90c62a8da3ba99,51.534122,-0.108674,11,Slow,7.0,"('Type2',)",POD Point
c8d1f991ae3c1511ed858a5b2eef81f6,51.53412,-0.108745,10,Slow,7.0,"('Type2',)",POD Point
c8d1f991ae3c1511ed858a5b2eef81f6,51.53412,-0.108745,11,Slow,7.0,"('Type2',)",POD Point
9689fbb935b09cd2b825dec73bfb5993,51.52367,-0.127527,10,Fast,22.0,"('Type2',)",POD Point
9689fbb935b09cd2b825dec73bfb5993,51.52367,-0.127527,11,Fast,22.0,"('Type2',)",POD Point
2a7cdd61b5e39b4de176c2bd4def4811,51.523707,-0.127429,10,Fast,22.0,"('Type2',)",POD Point
2a7cdd61b5e39b4de176c2bd4def4811,51.523707,-0.127429,11,Fast,22.0,"('Type2',)",POD Point
f1565b8fcd6ef7832001d764e89abca5,51.522299,-0.123915,10,Fast,22.0,"('Type2',)",POD Point
f1565b8fcd6ef7832001d764e89abca5,51.522299,-0.123915,11,Fast,22.0,"('Type2',)",POD Point
7e05c692d4caf2bba2151187845ad69b,51.523687,-0.127481,10,Fast,22.0,"('Type2',)",POD Point
7e05c692d4caf2bba2151187845ad69b,51.523687,-0.127481,11,Fast,22.0,"('Type2',)",POD Point
292d90bcc86fe4a292a044ee2b769111,51.523654,-0.127568,10,Fast,22.0,"('Type2',)",POD Point
292d90bcc86fe4a292a044ee2b769111,51.523654,-0.127568,11,Fast,22.0,"('Type2',)",POD Point
1b2576dc7715a014fc207453d1e52667,51.497297,-0.139462,10,Slow,7.0,"('Type2',)",POD Point
1b2576dc7715a014fc207453d1e52667,51.497297,-0.139462,11,Slow,7.0,"('Type2',)",POD Point
cd926bd3fc532373b0af79b4aa8767e3,51.507212,-0.113625,10,Slow,7.0,"('Type2',)",POD Point
cd926bd3fc532373b0af79b4aa8767e3,51.507212,-0.113625,11,Slow,7.0,"('Type2',)",POD Point
92a4d8e6937cb8dd6f5d65b53d16c1be,51.507186,-0.113685,10,Slow,7.0,"('Type2',)",POD Point
92a4d8e6937cb8dd6f5d65b53d16c1be,51.507186,-0.113685,11,Slow,7.0,"('Type2',)",POD Point
f57b56757d964c28edcd8aacee7e9618,51.501202,-0.162545,10,Slow,7.0,"('Type2',)",POD Point
f57b56757d964c28edcd8aacee7e9618,51.501202,-0.162545,11,Slow,7.0,"('Type2',)",POD Point
0207e1d5c41814b436110e5d7b767dd8,51.51029,-0.155519,10,Slow,7.0,"('Type2',)",POD Point
0207e1d5c41814b436110e5d7b767dd8,51.51029,-0.155519,11,Slow,7.0,"('Type2',)",POD Point
c600aed790cd1367661aa24eb24ee7f0,51.494824,-0.130405,10,Slow,7.0,"('Type2',)",POD Point
c600aed790cd1367661aa24eb24ee7f0,51.494824,-0.130405,11,Slow,7.0,"('Type2',)",POD Point
144096816d3812088033a4c9b3838dac,51.507151,-0.113777,10,Fast,22.0,"('Type2',)",POD Point
