chargeDeviceID,name,latitude,longitude,postcode,borough_cleaned,countryCode,deviceNetworks,locationType
1b2576dc7715a014fc207453d1e52667,Westminster - Palace Street,51.497297,-0.139462,SW1E 5JL,westminster,gb,POD Point,On-street
cd926bd3fc532373b0af79b4aa8767e3,National Theatre,51.507212,-0.113625,SE1 9PX,lambeth,gb,POD Point,Workplace car park
92a4d8e6937cb8dd6f5d65b53d16c1be,National Theatre,51.507186,-0.113685,SE1 9PX,lambeth,gb,POD Point,Workplace car park
f57b56757d964c28edcd8aacee7e9618,Westminster - Raphael Street,51.501202,-0.162545,SW7 1DW,kensington and chelsea,gb,POD Point,On-street
0207e1d5c41814b436110e5d7b767dd8,Westminster - Upper Grosvenor Street,51.51029,-0.155519,W1K 7EH,westminster,gb,POD Point,On-street
c600aed790cd1367661aa24eb24ee7f0,Westminster - Horseferry Road,51.494824,-0.130405,SW1P 4DR,westminster,gb,POD Point,On-street
144096816d3812088033a4c9b3838dac,National Theatre,51.507151,-0.113777,SE1 9PX,lambeth,gb,POD Point,Workplace car park
0c7f65251d8ddb6ec1640bef36f94109,Westminster - Spenser Street,51.497912,-0.136349,SW1E 6AA,westminster,gb,POD Point,On-street
ead093ca38b5d3210738fe7b53d5f6d9,Westminster - Lincoln's Inn Fields,51.515375,-0.116745,WC2A 3PF,camden,gb,POD Point,On-street
076ba05a45d179132cdec4c2c55591bb,Westminster - Spenser Street,51.49792,-0.136288,SW1E 6AA,westminster,gb,POD Point,On-street
1a1ec01f6458adecccb605200d42f47c,Westminster - Whitehall Place,51.506477,-0.12377,SW1A 2BD,westminster,gb,POD Point,On-street
a6a8f6bad925fe4167d82a398acc0d10,Imperial Hotels - The President,51.522315,-0.123836,WC1N 1DB,camden,gb,POD Point,Leisure centre
dfd7003b99a2c504402a0b89dc258c99,Imperial Hotels - The President,51.522323,-0.123798,WC1N 1DB,camden,gb,POD Point,Leisure centre
21af5f66fee3029846d201baef50415d,Imperial Hotels - The President,51.522307,-0.123872,WC1N 1DB,camden,gb,POD Point,Leisure centre
64b55721af8451c8a5e2d5a1a27876a2,Arnhem Wharf (Private Residents Only),51.495743,-0.026421,E14 3RU,tower hamlets,gb,POD Point,Workplace car park
55385df83c377f1b7659f1b62477443d,Arnhem Wharf (Private Residents Only),51.495743,-0.026421,E14 3RU,tower hamlets,gb,POD Point,Workplace car park
8f324d539761a3b21c773e02ea006d45,Tesco Superstore - Bromley By Bow,51.52659,-0.008772,E3 3DA,tower hamlets,gb,POD Point,Retail car park
6558a36e80b682c4dfd415cacfd2c17d,Tesco Superstore - Bromley By Bow,51.52659,-0.008772,E3 3DA,tower hamlets,gb,POD Point,Retail car park
7226b79b1ddf90da94ad10bbc8e33466,Tesco Superstore - Hammersmith,51.497693,-0.223658,W6 7NL,hammersmith and fulham,gb,POD Point,Retail car park
1d621120a54fb648cb3d036bb353babe,Tesco Superstore - Hammersmith,51.497693,-0.223658,W6 7NL,hammersmith and fulham,gb,POD Point,Retail car park
3c6a7d9835f5c2f074c0b0e71e3a8e4e,First Port - Sugar Quay,51.508696,-0.080927,EC3R 6DQ,city of london,gb,POD Point,Private home
47f5ddcafc69b192c508530d538c39c9,APCOA Parking,51.514208,-0.157273,W1H 7AB,westminster,gb,POD Point,Park & Ride site
b3fd08804ea4de120cdd37b34a5d2bd9,APCOA Parking,51.514208,-0.157273,W1H 7AB,westminster,gb,POD Point,Park & Ride site
51d0db8fd406c65ff0a07e46c1e607d1,Hackney Council Calvert Avenue,51.526308,-0.076671,E2 7JP,tower hamlets,gb,London Borough of Hackney,On-street
5dcb3acfb237e7af45f60b083a2b4305,Cannon Workshops,51.507202,-0.026712,E14 4AS,tower hamlets,gb,The GeniePoint Network,Public car park
0d124848a0ea943f34d3a85bf3599943,Cannon Workshops,51.507202,-0.026712,E14 4AS,tower hamlets,gb,The GeniePoint Network,Public car park
44f89aa962e57f9f1cd9ec2b53284dad,Morrisons Camden Town,51.542093,-0.149774,NW1 8AA,camden,gb,The GeniePoint Network,Retail car park
3771f41dc735e7404cd56cdebf7fea22,Republic Building,51.509946,-0.005424,E14 2BE,tower hamlets,gb,The GeniePoint Network,Public car park
d5f691643a90f747709a37dd16dc5e87,Republic Building,51.509946,-0.005424,E14 2BE,tower hamlets,gb,The GeniePoint Network,Other
