brand_name,model,release_year,battery_kWh,avg_consumption_Wh_per_km,ac_phases,ac_max_power_kW,dc_max_power_kW,has_default_charging_curve
Audi,etron 50,2022,89.0,20.9,3,11.0,89.0,False
Audi,etron 55,2022,106.0,21.0,3,11.0,106.0,False
Audi,etron sportback 50,2022,89.0,20.0,3,11.0,89.0,False
Audi,etron sportback 55,2022,106.0,20.2,3,11.0,106.0,False
Audi,etron,2023,106.0,23.3,3,11.0,106.0,False
Audi,etron sportback,2023,106.0,22.1,3,11.0,106.0,False
Audi,etron 45,2023,77.0,18.3,3,11.0,77.0,False
Audi,etron 45,2023,77.0,19.5,3,11.0,77.0,False
Audi,etron 55,2023,77.0,19.5,3,11.0,77.0,False
Audi,sportbacketron 45,2023,77.0,17.7,3,11.0,77.0,False
Audi,sportbacketron 45,2023,77.0,18.8,3,11.0,77.0,False
Audi,sportbacketron 55,2023,77.0,18.6,3,11.0,77.0,False
BMW,iX3,2021,74.0,19.2,3,11.0,74.0,False
BMW,i3,2020,37.9,15.4,3,11.0,50.0,False
BMW,i3,2013,18.8,14.5,1,7.4,47.0,False
BMW,i3,2013,27.2,16.0,3,11.0,50.0,False
BMW,i3S,2020,37.9,16.2,3,11.0,50.0,True
BMW,i3S,2019,37.9,16.1,3,11.0,49.0,False
BMW,i3S,2019,27.2,16.1,3,11.0,49.0,False
BMW,i3S,2019,27.2,16.1,3,11.0,49.0,False
BMW,i4,2022,67.0,16.8,3,11.0,180.0,True
BMW,i4,2021,80.7,17.2,3,11.0,207.0,True
BMW,i5,2023,81.2,19.3,3,11.0,206.0,True
BMW,i5,2024,81.2,19.6,3,11.0,206.0,True
BMW,i5,2023,81.2,17.3,3,11.0,206.0,True
BMW,i5,2024,81.2,17.8,3,11.0,206.0,True
BMW,i5,2024,81.2,17.8,3,11.0,206.0,True
BMW,i7,2022,101.7,19.9,3,11.0,195.0,True
BMW,iX,2022,105.2,21.7,3,22.0,195.0,True
BMW,iX,2021,71.0,19.7,3,11.0,148.0,True
BMW,iX,2021,105.2,20.8,3,11.0,195.0,True
BMW,iX1,2022,64.7,18.2,3,11.0,130.0,True
BMW,iX3,2020,73.8,18.6,3,11.0,150.0,True
BMW,iX xDrive60,2025,109.1,20.8,3,11.0,195.0,False
BMW,iX xDrive45,2025,94.8,20.2,3,11.0,175.0,False
BMW,iX2 eDrive20,2024,64.7,16.4,3,11.0,128.0,False
BMW,iX2 xDrive30,2023,64.7,16.8,3,11.0,128.0,False
BMW,i4,2024,81.3,18.1,3,11.0,207.0,True
BMW,i7,2023,101.7,20.8,3,11.0,200.0,False
BMW,i4,2024,81.3,16.6,3,11.0,207.0,True
BMW,i7,2023,101.7,19.6,3,11.0,200.0,False
BMW,iX M70 xDrive,2025,108.9,21.8,3,11.0,195.0,False
BMW,iX1 eDrive20,2023,64.7,16.6,3,11.0,128.0,False
BMW,i5 xDrive40 Touring,2025,81.2,18.2,3,136.0,206.0,False
BMW,i3 94,2016,27.2,16.5,3,27.2,47.0,False
BMW,i3 94,2017,27.2,16.5,3,27.2,27.2,False
BMW,i3s 94,2017,27.2,17.0,3,27.2,27.2,False
BMW,120 ah,2018,37.9,16.5,3,37.9,37.9,False
BMW,edrive40,2021,80.7,15.7,3,11.0,80.7,True
BMW,xdrive40,2021,71.0,19.7,3,11.0,71.0,True
BMW,xdrive50,2021,105.2,20.8,3,11.0,105.2,True
BMW,m50,2021,80.7,17.9,3,11.0,80.7,True
BMW,m60,2022,105.2,21.7,3,11.0,105.2,True
BMW,xdrive60,2022,101.7,19.9,3,11.0,101.7,False
BMW,xdrive30,2022,64.7,17.0,3,11.0,64.7,False
BMW,edrive35,2022,67.0,15.6,3,11.0,67.0,False
BMW,m70 xdrive,2023,101.7,20.8,3,22.0,101.7,False
BMW,edrive50,2023,101.7,19.6,3,11.0,101.7,False
BMW,edrive40 sedan,2023,81.2,17.3,3,11.0,81.2,False
BMW,m60 xdrive sedan,2023,81.2,19.3,3,11.0,81.2,False
BMW,edrive20,2023,64.7,16.6,3,11.0,64.7,False
BMW,xdrive30,2023,64.7,16.8,3,11.0,64.7,False
BMW,xdrive40 sedan,2024,81.2,17.8,3,11.0,81.2,False
BMW,edrive20,2024,64.7,16.4,3,11.0,64.7,False
BYD,HAN,2023,85.4,18.0,3,6.6,85.4,True
BYD,TANG,2022,86.4,24.3,3,7.4,86.4,False
BYD,Dolphin,2023,60.5,17.8,3,11.0,88.0,True
BYD,Dolphin,2023,44.9,17.6,3,7.4,60.0,True
BYD,Dolphin,2023,44.9,17.6,3,7.4,60.0,True
BYD,Seal,2023,82.5,16.8,3,11.0,150.0,True
BYD,Seal,2023,82.5,16.5,3,11.0,150.0,True
BYD,SEAL,2024,71.8,19.9,3,11.0,115.0,False
BYD,DOLPHIN,2023,44.9,16.9,3,11.0,60.0,False
BYD,SEAL,2025,61.4,16.6,3,11.0,110.0,False
BYD,ATTO 3,2022,60.5,18.55,3,11.0,89.0,False
BYD,DOLPHIN,2023,44.9,17.3,3,11.0,60.0,False
BYD,DOLPHIN,2023,60.5,17.3,3,11.0,88.0,False
BYD,SEAL,2024,87.0,20.5,3,11.0,140.0,False
BYD,3,2022,60.5,18.3,3,11.0,60.5,False
BYD,44,2023,44.9,16.9,3,7.4,44.9,False
BYD,44,2023,44.9,17.3,3,7.4,44.9,False
BYD,60,2023,60.5,17.3,3,11.0,60.5,False
BYD,82,2023,82.5,17.2,3,11.0,82.5,False
BYD,82,2023,82.5,18.5,3,11.0,82.5,False
BYD,SEAL U 87 kWh Design,2024,87.0,20.5,3,11.0,87.0,False
BYD,u 71.,2024,71.8,19.9,3,11.0,71.8,False
BYD,flagship,2024,108.8,23.7,3,11.0,108.8,False
Cadillac,Lyriq 600 E4,2024,102.0,22.2,3,11.0,190.0,False
Carver,S+,2020,7.1,7.1,1,2.3,150.0,True
Chevrolet,Bolt,2017,58.0,12.9,2,7.2,55.0,False
Chevrolet,Bolt,2020,66.0,12.9,3,7.2,55.0,False
Chevrolet,Spark EV,2015,19.0,14.0,1,3.3,50.0,True
Chevrolet,Spark EV,2013,21.3,16.0,1,3.3,50.0,True
Citroën,ë-C4,2021,46.3,16.0,3,7.4,46.3,True
Citroën,e-C4,2021,46.3,16.0,3,11.0,101.0,True
Citroën,e-C4,2024,46.3,16.0,3,11.0,100.0,False
Citroën,e-C3 Aircross,2024,44.0,17.6,3,11.0,100.0,False
Citroën,e-C4 X 54 kWh,2024,50.8,14.9,3,11.0,100.0,False
Citroën,e-C4 X,2024,46.3,15.7,3,11.0,100.0,False
Citroën,e-C4 54 kWh,2024,50.8,15.2,3,11.0,100.0,False
Citroën,C-Zero,2016,14.5,17.1,3,11.0,100.0,True
Citroën,e-Berlingo M 50 kWh,2024,50.0,21.3,3,11.0,150.0,True
Citroën,e-SpaceTourer M 75 kWh,2024,68.0,26.2,3,11.0,150.0,True
Citroën,e-Jumpy Combi M 75 kWh,2020,68.0,25.7,3,11.0,100.0,False
Citroën,e-Berlingo XL 50 kWh,2024,50.0,21.7,3,11.0,150.0,True
Citroën,e-SpaceTourer M 50 kWh,2024,46.3,25.7,3,11.0,150.0,True
Citroën,E-Berlingo Multispace,2017,20.5,20.5,3,11.0,40.0,False
Citroën,e-Jumpy Combi XL 75 kWh,2020,68.0,26.2,3,11.0,100.0,False
Citroën,e-SpaceTourer XL 75 kWh,2024,68.0,26.2,3,11.0,150.0,True
Citroën,e-Jumpy Combi M 50 kWh,2020,46.3,25.0,3,11.0,150.0,True
Citroën,e-SpaceTourer XL 50 kWh,2024,50.0,25.0,3,11.0,101.0,True
Citroën,e-Jumpy Combi XL 50 kWh,2020,46.3,25.7,3,11.0,101.0,True
Citroën,e-SpaceTourer XS 50 kWh,2020,46.3,25.0,3,11.0,101.0,True
Citroën,e-Jumpy Combi XS 50 kWh,2020,46.3,25.0,3,11.0,101.0,True
Citroën,C-Zero,2011,14.5,17.1,3,11.0,100.0,True
Citroën,E-Berlingo,2017,20.5,20.5,3,20.5,20.5,False
Citroën,xs,2020,46.3,25.0,3,11.0,46.3,True
Citroën,xl,2020,46.3,25.7,3,11.0,46.3,True
Citroën,m,2021,68.0,25.7,3,11.0,68.0,True
