chargeDeviceID,connector_type,rated_power_kW,charge_method,status
a9553cfcbc49f90b78e2aa9f9562ffcb,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
a42b502fd8b80f01036fccc9ea8226da,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
f450be599835edbdf545aa2f9d0b3c0f,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
645d9623ef327239a497ffe82db6666d,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
84acb80bb3b8869e496994fa04e7b696,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
bc4937e5755e250734c52f9079536380,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
4a23fff97af189e54709cdb103eb6a6f,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
a2a54b1f4d576fb949cd5e6a41b389e1,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
222b56aae2f098322c7a9bda1a6da90c,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
1db51908b18392bc3d6e9754447d3bd6,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
9fd70af29596532ae2f62491d467634b,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
2ab4b7021b09c93a384d1c77623cf7c2,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
de55ab8b76999886773b1c962f9758ea,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
f05df12f9a5368e3b5ff7c3592e12489,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
8111fadab07e869aaa5f65fb3fccc133,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
632725352efe55675c8084885bdc2c88,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
b761c0237639f01545ae49fd0ddbb1c2,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
c467c233429aefa74e575b5406252774,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
3289dd8341f5817e5049a95206742874,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
853107bec212e0d5b24384a633b5864f,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
27ec94dfdefd3f3f9665ef0e2d531d49,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
49eb972d7a98a52413d071bbf6373bc9,Type 2 Mennekes (IEC62196),22.0,Three Phase AC,In service
