#{"t_start": 1756739164.3159227, "env_id": "None"}
r,l,t
55.895955,8,6.702248
56.488933,5,6.805604
71.165048,20,6.924087
56.768051,9,7.033342
81.943761,19,7.166214
63.309048,10,7.265564
57.101449,6,7.369163
58.894132,5,7.468294
59.917472,10,7.573359
59.525301,9,7.688333
61.709947,10,7.81614
69.459635,15,7.928031
54.323774,6,8.039844
78.393773,28,8.19018
68.166208,11,8.29557
61.592259,13,8.405835
80.110865,16,8.54506
72.979628,17,8.675928
76.234596,13,8.803676
60.256346,6,8.922428
72.249245,15,9.065479
55.851946,8,9.180977
115.030757,26,9.331755
51.811594,2,9.451855
54.125485,16,9.584226
53.479211,4,9.677248
53.302392,9,9.805742
57.101449,6,9.906004
55.818841,5,10.014905
71.998369,24,10.140217
52.196547,4,10.260751
83.366351,31,10.414664
58.124564,8,10.551706
53.743133,3,10.666745
68.090842,15,10.813899
49.5,1,10.937899
122.681159,43,11.133981
96.861929,33,11.307557
57.188905,9,11.434863
57.946644,8,11.584098
66.410923,14,11.74279
50.0,1,11.862952
53.666743,3,11.991839
62.07226,10,12.136513
53.592284,6,12.283135
70.176233,16,12.422808
68.752114,16,12.570301
58.154378,7,12.690808
50.0,1,12.804079
71.071295,11,12.920503
51.949313,4,13.041789
52.480117,4,13.147606
66.597826,9,13.264919
56.35864,12,13.389167
78.70821,24,13.546179
91.374506,22,13.709114
55.721225,6,13.840219
67.770749,20,13.991764
63.300879,9,14.114056
51.96896,4,14.235725
71.01084,16,14.373539
87.492949,21,14.542169
54.188008,3,14.665505
50.0,1,14.772729
97.346191,34,14.942533
67.711076,17,15.083658
58.890705,10,15.204288
55.289855,5,15.335158
58.910878,7,15.454739
73.121218,14,15.595215
82.254319,25,15.743773
64.469456,17,15.872443
57.541185,7,15.991947
63.88123,12,16.12651
61.456537,9,16.253602
49.5,1,16.346134
51.226961,4,16.443828
50.30325,4,16.544762
57.492062,16,16.662225
54.785876,6,16.775868
50.982633,2,16.884202
51.442939,3,16.974421
52.246489,7,17.088304
58.205077,6,17.204314
53.373188,5,17.322431
74.889062,25,17.452899
57.028986,6,17.566239
100.284752,39,17.856657
60.880435,10,17.983837
52.457336,4,18.08509
82.166489,29,18.237656
68.361503,12,18.365895
66.373785,20,18.488591
84.716356,20,18.630417
75.848268,18,18.779671
86.013491,24,18.926278
63.679119,12,19.053402
52.20842,2,19.151123
54.416839,4,19.256335
91.725059,29,19.406751
58.530111,9,19.524266
65.530031,15,19.64351
55.227376,7,19.760953
58.872334,11,19.870492
60.705471,7,19.995097
55.935584,5,20.114529
76.449275,18,20.241383
83.258461,26,20.386606
49.5,1,20.4804
78.16616,23,20.614805
58.382236,9,20.731072
69.633046,21,20.868827
60.368187,12,20.988994
72.549533,22,21.113423
62.322628,9,21.230061
64.893574,18,21.349188
107.509662,30,21.49594
54.027755,6,21.600366
69.345756,12,21.72877
50.0,1,21.831764
76.947206,19,21.971623
60.17219,14,22.096492
78.268116,22,22.221894
55.721225,5,22.315619
55.516774,4,22.440033
51.216959,4,22.55204
52.178723,4,22.665454
65.33784,9,22.786045
56.234695,7,22.897068
60.122916,12,23.016233
53.552493,6,23.137855
51.629417,4,23.256931
59.204714,9,23.382489
61.921524,11,23.505345
85.390705,34,23.659384
55.495319,5,23.75863
61.010361,15,23.880416
59.921211,8,23.987698
90.814216,26,24.133741
70.150429,11,24.244258
60.56717,12,24.355406
57.246377,6,24.474273
55.362319,5,24.590802
51.875755,5,24.709626
58.125408,8,24.831237
54.326663,8,24.942376
61.174995,14,25.066348
49.5,1,25.173742
63.418654,10,25.294914
62.253552,8,25.402101
54.433725,6,25.518836
107.540552,39,25.671686
129.710145,49,25.840499
55.857821,6,25.955503
65.049075,12,26.063222
72.446514,13,26.164715
58.908836,9,26.272923
54.999628,8,26.379247
67.271282,14,26.483877
90.708951,23,26.612141
52.4826,3,26.710821
64.747897,15,26.823236
58.69682,14,26.937269
67.765969,15,27.062984
64.675195,11,27.182623
77.769902,23,27.32673
60.457575,11,27.559914
87.739908,21,27.703231
61.950237,11,27.828707
62.318841,10,27.942055
60.217276,14,28.066746
58.745407,10,28.180895
70.067202,14,28.302429
59.556054,10,28.406567
58.290546,5,28.512436
64.284976,10,28.616744
63.881351,10,28.724998
66.440158,13,28.845187
78.223936,13,28.984395
59.664904,8,29.085647
61.536833,12,29.195894
75.362183,16,29.31672
55.113493,10,29.415123
57.598682,8,29.522656
53.550725,4,29.628099
86.429548,26,29.765716
52.520817,6,29.883765
51.869718,8,29.989914
50.0,1,30.090365
62.250215,9,30.205624
50.811512,2,30.303197
50.927554,2,30.410827
54.299738,5,30.508969
75.729049,26,30.656354
66.283929,15,30.772794
61.218069,16,30.889956
52.285867,3,30.991715
57.536177,9,31.095678
55.760921,10,31.206796
68.946006,12,31.307371
62.327274,7,31.4169
51.524818,3,31.515793
49.5,1,31.625197
56.575569,7,31.715074
55.295723,11,31.826777
56.643058,7,31.931073
60.640849,8,32.040272
54.691211,8,32.131826
58.761566,8,32.237023
62.8956,14,32.351698
65.651956,11,32.471578
72.072484,14,32.591069
76.820771,19,32.717415
55.080368,10,32.830934
53.765637,3,32.923511
66.154161,12,33.043812
53.056884,5,33.151782
54.131607,8,33.241253
77.640807,20,33.342788
52.358785,6,33.439654
56.983822,8,33.537749
68.833131,12,33.648965
53.940633,4,33.744211
57.690777,13,33.837831
50.674251,4,33.937682
69.263841,14,34.030003
64.99318,8,34.130203
53.668827,7,34.217994
56.692772,9,34.313923
109.016346,30,34.45477
75.156324,15,34.568598
51.801229,3,34.665736
52.021622,5,34.753143
80.81236,29,34.887575
61.274945,9,34.988832
59.908611,17,35.121731
74.675129,16,35.245537
58.59666,7,35.347686
85.152447,23,35.472778
88.077261,22,35.604946
97.480033,18,35.738958
58.367944,10,35.854805
54.073188,6,35.951086
52.947977,4,36.057983
51.881928,4,36.154638
54.717485,7,36.269038
59.686932,10,36.380057
67.380667,14,36.493335
56.051249,5,36.598973
59.17772,6,36.710778
52.163373,2,36.815212
53.080368,14,36.927137
97.93375,30,37.078201
65.459153,16,37.19673
61.957047,19,37.313198
93.405934,23,37.44685
52.124989,3,37.54947
76.431283,18,37.666561
66.014476,19,37.770502
76.053824,14,38.000138
68.620249,13,38.100382
53.306758,4,38.21434
54.488762,4,38.332891
70.00069,15,38.471846
56.574913,7,38.58396
58.400597,8,38.707543
73.429221,15,38.839096
80.277512,22,38.981946
50.273847,3,39.081701
72.211773,24,39.201799
57.202241,8,39.31657
62.320445,8,39.437168
72.218277,20,39.574859
83.535332,24,39.717567
53.581285,8,39.822337
64.901637,16,39.955802
64.363168,15,40.083012
68.680254,12,40.207721
73.617196,17,40.350008
74.718116,21,40.506269
90.652174,28,40.651652
49.314677,7,40.7903
49.655812,4,40.922555
60.758382,12,41.076724
50.877206,2,41.190452
53.691705,6,41.33493
50.713787,2,41.461706
53.17676,5,41.595404
50.151625,2,41.714827
62.439349,10,41.868229
68.727108,18,42.026384
49.5,1,42.139704
59.65868,10,42.277378
50.940154,2,42.391287
62.481817,13,42.523174
57.912686,12,42.639411
50.022439,4,42.749642
71.945373,19,42.870905
51.506795,4,42.991421
52.591101,3,43.106943
60.691257,8,43.231716
63.915366,8,43.345503
58.506301,10,43.466711
69.966138,11,43.590318
59.141265,11,43.698215
73.290834,15,43.823903
60.371914,8,43.943053
66.841491,15,44.064274
53.826736,6,44.178605
95.05328,30,44.329508
60.180167,10,44.434807
52.078312,3,44.547794
56.896113,7,44.654045
72.294268,19,44.793313
62.753773,15,44.914115
51.289608,5,45.035514
59.928402,11,45.143614
73.380323,24,45.289926
57.139752,6,45.400887
54.465063,6,45.51288
54.566967,6,45.628875
71.840347,15,45.75905
71.304348,15,45.877339
60.323076,12,46.006113
54.719794,9,46.117449
50.634558,2,46.218606
110.49791,38,46.363154
71.017016,13,46.473732
56.259782,5,46.574417
57.182659,8,46.677071
50.0,1,46.765772
50.811512,2,46.869102
62.531483,24,46.997711
56.94415,9,47.100946
66.408601,10,47.215406
63.955675,14,47.329651
58.581841,14,47.432454
64.511387,10,47.532475
52.092072,2,47.639604
54.305615,4,47.744149
69.096227,13,47.876285
61.149116,10,47.980946
51.277978,2,48.070075
87.137901,19,48.188448
59.442432,11,48.305294
53.575677,7,48.420144
83.675002,18,48.549452
61.259542,12,48.661435
51.73913,3,48.764568
101.726774,27,48.910713
50.0,2,49.01423
49.925713,3,49.124891
74.935897,15,49.239967
58.179924,11,49.448303
71.996074,18,49.580677
53.692385,6,49.688206
73.788025,17,49.825502
52.753575,4,49.926244
66.15942,11,50.046622
53.62749,7,50.158424
60.512754,7,50.265726
52.104462,6,50.378088
80.110865,18,50.506594
