step,step_type,episode_minutes,soc,remaining_km,total_cost_gbp,reward,progress_km,shaping_time,penalty_idle,penalty_micro_charge,last_charge
0,drive,16.0,0.11054332669411367,14.885333333333334,0.0,-0.30000000000000004,4.166666666666666,0.5,,,
1,drive,32.0,0.09303013034912891,10.718666666666667,0.0,-0.30000000000000004,4.166666666666666,0.5,,,
2,drive,42.0,0.07551693400414415,6.552000000000001,0.0,1.1102230246251565e-16,4.166666666666666,0.5000000000000001,,,
3,drive,52.0,0.05800373765915939,2.3853333333333353,0.0,-5.551115123125783e-17,4.166666666666666,0.49999999999999994,,,
4,drive,62.0,0.040490541314174636,0.0,0.0,49.78624,2.3853333333333353,0.2862400000000002,,,
