step,step_type,episode_minutes,soc,remaining_km,total_cost_gbp,reward,progress_km,shaping_time,penalty_idle,penalty_micro_charge,last_charge
0,drive,16.0,0.11942935127314154,13.938333333333334,0.0,-0.2999999999999996,4.166666666666666,0.5000000000000004,,,
1,drive,32.0,0.08331238864815418,9.771666666666668,0.0,-0.30000000000000027,4.166666666666666,0.4999999999999998,,,
2,drive,48.0,0.04719542602316683,5.605000000000002,0.0,-0.30000000000000004,4.166666666666666,0.5,,,
3,drive,64.0,0.011078463398179472,1.4383333333333361,0.0,-0.30000000000000004,4.166666666666666,0.5,,,
4,drive,80.0,0.0,0.0,0.0,49.372600000000006,1.4383333333333361,0.17260000000000034,,,
