#{"t_start": 1756742815.8052583, "env_id": "None"}
r,l,t
63.066042,8,35.068708
50.91054,4,35.188843
53.571244,5,35.29895
59.790799,29,35.463056
75.356999,15,35.600082
52.063129,12,35.734152
57.716145,6,35.845878
55.980613,18,35.991513
52.454287,10,36.122783
48.3611,3,36.227489
53.265841,4,36.344234
48.878502,3,36.45568
53.152107,7,36.577669
52.370709,3,36.703778
49.693912,12,36.828803
96.502448,29,36.998504
53.333154,19,37.13002
51.93379,4,37.250175
51.779947,2,37.371926
59.625875,20,37.532398
50.0,1,37.642636
77.120169,22,37.776945
63.374743,28,37.932081
49.983705,4,38.043332
49.0,1,38.141263
85.06973,39,38.323089
70.998717,18,38.456126
75.290352,16,38.580991
50.371742,11,38.710858
50.0,2,38.814682
68.300574,12,38.939821
57.319485,11,39.076115
53.520907,6,39.177689
48.7222,4,39.285329
64.783094,10,39.402078
58.84058,9,39.502009
78.030998,17,39.629706
57.774155,8,39.745609
57.934048,9,39.877293
59.069086,17,40.016498
47.391226,10,40.122966
49.449978,3,40.233689
49.011856,10,40.359577
81.452794,18,40.493073
61.047826,10,40.606099
48.098711,5,40.70776
51.936933,3,40.812559
49.0,1,40.922209
77.72239,15,41.054325
54.346802,9,41.171703
49.447052,2,41.273734
59.550805,23,41.421099
48.688247,5,41.521776
55.289855,7,41.629017
52.447264,16,41.753938
64.831998,10,41.870291
60.932271,18,41.999684
89.2108,25,42.140445
64.379769,21,42.272585
51.277073,11,42.390968
49.605502,2,42.500226
61.773969,9,42.617967
51.983617,8,42.742495
52.623785,21,42.865854
51.961353,3,42.965911
56.967652,11,43.06323
84.087369,39,43.210387
51.714608,18,43.323703
46.73287,12,43.426391
55.544581,10,43.52763
52.902032,6,43.632658
58.894132,7,43.730513
58.820377,16,43.838283
54.601173,15,43.956856
49.795432,4,44.069994
55.203648,3,44.174226
69.480448,12,44.292655
55.269496,15,44.409888
51.969652,6,44.530336
56.40302,7,44.652576
59.664904,6,44.768137
67.252582,13,44.881962
75.627877,16,45.002004
51.215177,6,45.102512
69.564783,12,45.196421
58.68238,13,45.412308
58.599477,6,45.519834
59.241556,17,45.618049
63.005471,18,45.730536
58.722088,14,45.848887
52.208266,3,45.943297
51.790412,3,46.03408
53.937605,16,46.142464
62.391304,9,46.252833
49.0,1,46.342949
52.903349,22,46.458997
55.159132,6,46.550643
50.583221,12,46.65947
52.011858,2,46.760672
52.369498,9,46.877622
55.522099,22,47.000196
60.461698,8,47.104989
52.613645,7,47.2149
51.451543,4,47.32193
51.05036,14,47.423604
61.347264,8,47.526794
47.0,3,47.62029
63.223096,10,47.722851
50.229339,3,47.82775
49.901327,18,47.942986
45.917382,11,48.069548
52.109213,3,48.171385
55.256794,13,48.28909
55.614958,22,48.407946
48.436583,3,48.501722
52.311536,4,48.611018
66.123278,18,48.735765
51.066933,3,48.849142
49.205634,3,48.95718
55.289855,5,49.054029
54.034085,11,49.181218
49.708322,2,49.287281
48.841301,3,49.397475
52.789855,4,49.496214
53.608617,10,49.618158
49.549912,2,49.728239
56.531735,10,49.836691
51.811594,2,49.944166
71.18003,14,50.053834
67.490683,11,50.169378
63.887161,11,50.297692
62.327274,11,50.426483
51.830957,4,50.556602
53.621033,20,50.714828
48.0,2,50.835032
52.931872,16,50.992637
47.0,3,51.11746
74.565217,17,51.265278
62.901501,11,51.373764
82.680099,22,51.506439
49.0,1,51.61099
57.672293,18,51.735829
52.374877,16,51.848397
90.988268,23,51.974282
54.867777,4,52.085377
48.4166,9,52.20192
49.810145,5,52.312785
49.61446,8,52.432746
59.567326,15,52.5641
50.544697,2,52.665466
53.510296,4,52.772165
49.0,1,52.873104
48.436583,3,52.966044
50.687433,8,53.07436
64.807518,10,53.179898
51.977595,16,53.295216
50.505791,5,53.411473
69.327525,23,53.537597
51.321273,4,53.633906
50.0,1,53.730819
56.650191,22,53.85469
66.506503,10,53.962411
61.201504,21,54.086289
50.0,1,54.189233
50.418754,4,54.295737
48.824103,8,54.397898
49.077729,4,54.494127
51.839258,8,54.588219
50.15259,9,54.692042
64.82971,11,54.794635
48.0,2,54.89487
69.464613,26,55.029259
55.41148,11,55.146882
55.517249,12,55.254681
54.810827,11,55.357507
53.333266,9,55.46699
48.0,2,55.566005
50.0,1,55.672437
49.11637,5,55.776685
48.274087,9,55.887188
48.190864,5,55.980595
58.485593,21,56.103466
73.655602,15,56.226342
54.435974,7,56.333794
64.43532,23,56.459787
49.0,1,56.547123
49.0,1,56.645725
55.006174,13,56.74555
44.287878,16,56.856229
57.901578,9,56.962465
69.409638,11,57.068031
73.030879,15,57.189106
57.142488,7,57.293681
50.0,2,57.493383
49.853153,2,57.604075
73.132393,15,57.73088
49.720637,3,57.833834
49.790487,5,57.938448
73.797566,16,58.062734
55.357031,15,58.169601
50.572344,10,58.265343
49.97793,2,58.355874
49.406601,4,58.458568
73.187243,26,58.599788
49.712637,4,58.700037
60.912455,9,58.797446
48.0,2,58.897082
48.521291,5,58.994571
50.541633,5,59.104856
64.07867,19,59.232154
50.0,2,59.338277
50.0,1,59.425903
53.124933,9,59.542592
52.164908,3,59.641522
49.526281,2,59.738385
49.211004,4,59.838821
61.317364,7,59.96185
50.43525,5,60.061787
69.041491,10,60.166376
52.788953,10,60.278582
48.578844,6,60.372344
46.892358,6,60.472172
49.041633,6,60.588007
50.0,1,60.688422
48.757004,5,60.787452
50.268274,4,60.901496
54.081327,4,61.005651
52.010333,17,61.145446
49.430522,5,61.253575
48.61131,3,61.369489
47.324904,4,61.471056
49.0,1,61.5686
48.0,2,61.672237
55.543327,4,61.783158
52.580727,3,61.887446
53.753383,10,61.998518
49.296486,2,62.092355
48.256388,5,62.189864
54.973061,7,62.297509
57.055984,4,62.406659
50.638206,4,62.515084
63.206051,16,62.640973
67.270074,12,62.749626
49.0,1,62.843573
49.0,1,62.94208
64.633012,12,63.05539
48.642443,7,63.157014
48.994367,6,63.259261
55.636387,20,63.376184
58.449554,7,63.492606
50.763554,9,63.593155
45.91189,6,63.697372
61.783007,9,63.799535
71.845818,13,63.918046
50.958309,16,64.039242
45.875553,15,64.154158
62.333154,20,64.263563
50.041633,5,64.355513
63.719939,9,64.457893
74.544015,11,64.582711
56.98076,6,64.686046
49.574064,2,64.794832
56.280813,14,64.916126
57.149387,15,65.039789
51.8984,2,65.135814
48.722192,6,65.241765
49.195227,4,65.343661
64.338535,12,65.450066
49.909487,2,65.556278
49.526281,2,65.661631
47.0,3,65.75515
56.477822,10,65.85744
52.711801,10,65.948739
51.997992,12,66.07391
50.0,2,66.192682
48.0,2,66.290547
55.270766,8,66.400506
56.88975,14,66.522473
55.095706,13,66.623308
62.726769,9,66.730981
51.010624,15,66.850654
48.0,2,66.950026
54.600555,5,67.047782
62.729659,8,67.148841
54.60366,4,67.243994
56.580259,6,67.345662
61.81119,19,67.476207
53.59197,4,67.595346
50.492206,10,67.717294
46.708322,5,67.838889
52.740673,13,67.969768
50.027608,6,68.077495
54.908293,11,68.186374
71.88573,18,68.309165
48.0,2,68.418901
53.361756,4,68.521749
50.402218,5,68.62162
50.962822,6,68.735091
59.502415,9,68.842175
54.212087,13,68.956059
74.885724,17,69.0748
62.249799,23,69.193465
54.465987,13,69.29232
51.402754,11,69.393751
67.971849,18,69.514822
52.354412,11,69.629954
48.759762,18,69.758488
51.297935,7,69.862719
57.322163,7,69.951718
49.549912,2,70.052442
49.0,1,70.14797
48.0,2,70.244709
50.068623,7,70.355901
49.737285,5,70.462935
49.86329,2,70.569694
65.017253,9,70.669275
50.836587,8,70.768365
61.695535,6,70.881225
57.486266,6,70.986221
56.172201,7,71.093259
49.980577,5,71.201675
52.961522,5,71.319508
51.616902,5,71.423691
50.309553,2,71.538472
58.110048,6,71.635361
49.510936,13,71.763391
54.240166,4,71.979578
51.648754,8,72.086878
49.0,1,72.180944
48.952736,3,72.274142
55.539247,4,72.362436
51.104318,5,72.456704
52.851482,4,72.541761
48.0,2,72.620669
