#{"t_start": 1757209695.3363712, "env_id": "None"}
r,l,t
-206.467128,84,1306.109316
-208.959245,84,1311.313794
-206.459245,84,1316.54157
-121.448375,72,1321.049759
-206.448375,84,1326.206224
-206.448375,84,1331.357501
-206.470879,84,1336.518154
-208.967128,84,1341.700677
-203.948375,84,1346.89622
-206.448375,84,1352.039926
-200.418489,84,1357.235653
-206.459245,84,1362.405046
-206.459245,84,1367.579848
-208.948375,84,1372.764826
-206.459245,84,1377.968012
-206.467128,84,1383.132925
-206.448375,84,1388.37152
-206.448375,84,1393.550261
-203.959245,84,1398.712303
-78.959245,55,1402.137635
-83.948375,56,1405.659802
-203.948375,84,1410.799128
-203.948375,84,1415.958129
-206.448375,84,1421.111177
-133.959245,78,1425.940937
-206.448375,84,1431.084876
-206.467128,84,1436.256521
-208.959245,84,1441.658127
-206.448375,84,1446.796021
-206.448375,84,1451.922885
-206.459245,84,1457.091284
-208.977998,84,1462.271629
-206.470879,84,1467.469671
-208.948375,84,1472.67663
-203.977998,84,1477.887592
-206.448375,84,1483.072072
-206.459245,84,1488.258055
-206.448375,84,1493.447392
-206.448375,84,1498.614522
-206.448375,84,1503.768372
-208.948375,84,1508.925051
-201.481748,84,1514.102821
-208.970879,84,1519.281026
50.0,2,1519.551993
-203.959245,84,1524.749121
-36.448375,38,1527.183065
-208.948375,84,1532.385852
-208.959245,84,1537.583529
-208.948375,84,1542.766666
-203.959245,84,1547.921282
-208.948375,84,1553.077965
-206.470879,84,1558.241712
-206.459245,84,1563.392919
-206.467128,84,1569.713553
-203.948375,84,1574.834105
-208.959245,84,1579.940745
-208.970879,84,1585.068424
-200.40762,84,1590.196858
-206.459245,84,1595.357208
-206.448375,84,1600.467048
-208.977998,84,1605.59038
-208.959245,84,1610.679815
-208.948375,84,1615.8282
50.0,1,1616.023453
-208.948375,84,1621.183017
50.0,1,1621.380525
-208.948375,84,1626.521483
-206.448375,84,1631.663635
-208.959245,84,1636.78786
-206.448375,84,1641.969316
-208.977998,84,1647.104534
-203.959245,84,1652.257517
-73.948375,56,1655.790294
-208.959245,84,1660.920198
-206.477998,84,1666.074708
-206.481748,84,1671.244453
-208.959245,84,1676.408411
-208.970879,84,1681.557005
-206.481748,84,1686.67694
-206.448375,84,1691.845116
50.0,1,1692.043723
-206.448375,84,1697.364689
-208.977998,84,1702.541028
-208.959245,84,1707.727368
-208.948375,84,1712.91426
-203.959245,84,1718.094878
-206.448375,84,1723.270408
-206.448375,84,1728.431221
-206.459245,84,1733.597919
-206.470879,84,1738.74327
-206.459245,84,1743.878724
-208.981748,84,1749.013776
-208.959245,84,1754.171793
-208.959245,84,1759.33628
-208.970879,84,1764.534639
-208.948375,84,1769.687274
-202.952627,84,1774.874475
-202.955995,84,1780.050281
-206.459245,84,1785.219475
-206.459245,84,1790.360061
-206.459245,84,1795.544005
-206.467128,84,1800.704085
-206.448375,84,1805.8309
-208.959245,84,1810.945091
-201.448375,84,1816.094004
-206.448375,84,1821.201486
50.0,1,1821.398807
-208.861419,84,1826.5575
-208.948375,84,1831.684989
-208.948375,84,1836.809411
-206.448375,84,1841.956397
-206.448375,84,1847.084636
-206.448375,84,1852.23804
-208.959245,84,1857.405577
-206.448375,84,1862.571933
-203.959245,84,1867.748802
-208.948375,84,1872.923358
-203.948375,84,1878.060418
-201.448375,84,1883.232238
-206.470879,84,1888.389856
-203.959245,84,1893.563843
-206.448375,84,1898.755864
-206.477998,84,1903.906291
-206.366853,84,1909.015958
-208.948375,84,1914.134509
-206.448375,84,1919.246874
-202.941757,84,1924.377253
-208.948375,84,1929.496907
-203.948375,84,1934.638764
-206.467128,84,1939.829012
-208.967128,84,1945.007283
-208.959245,84,1950.277318
-206.481748,84,1955.44421
-206.459245,84,1960.622316
-208.959245,84,1965.805025
-121.459245,73,1970.335701
-208.948375,84,1975.514104
-208.967128,84,1980.689382
-206.459245,84,1985.848987
-176.923505,68,1990.06877
-206.448375,84,1995.252004
-208.959245,84,2000.424343
-203.970879,84,2005.60299
-208.970879,84,2010.794651
-206.481748,84,2015.980888
-208.948375,84,2021.151969
-208.959245,84,2026.337131
-208.948375,84,2031.502475
-208.948375,84,2036.689508
-206.448375,84,2041.854953
-203.904897,84,2047.015639
-203.977998,84,2052.182843
-208.967128,84,2057.344906
50.0,1,2057.543999
-208.981748,84,2062.713936
-206.459245,84,2067.893588
-206.448375,84,2073.013474
-202.952627,84,2078.172802
-126.459245,73,2082.663021
-63.959245,48,2085.662177
-206.459245,84,2090.825015
-200.441757,84,2095.998825
-208.977998,84,2101.174668
-208.970879,84,2106.345386
-113.959245,68,2110.530525
-206.448375,84,2115.70171
-206.448375,84,2120.848809
-206.467128,84,2126.009218
-208.959245,84,2131.157683
-78.948375,55,2134.603495
