brand_name,model,release_year,usable_battery_size,energy_consumption/average_consumption,ac_charger/usable_phases,ac_charger/max_power,dc_charger/max_power,dc_charger/charging_curve/0/percentage,dc_charger/charging_curve/0/power,dc_charger/charging_curve/1/percentage,dc_charger/charging_curve/1/power,dc_charger/charging_curve/2/percentage,dc_charger/charging_curve/2/power,dc_charger/charging_curve/3/percentage,dc_charger/charging_curve/3/power,dc_charger/is_default_charging_curve,range,consumption,dc_charger/charging_curve/4/percentage,dc_charger/charging_curve/4/power,dc_charger/charging_curve/5/percentage,dc_charger/charging_curve/5/power,dc_charger/charging_curve/6/percentage,dc_charger/charging_curve/6/power,dc_charger/charging_curve/7/percentage,dc_charger/charging_curve/7/power,dc_charger/charging_curve/8/percentage,dc_charger/charging_curve/8/power,dc_charger/charging_curve/9/percentage,dc_charger/charging_curve/9/power,dc_charger/charging_curve/10/percentage,dc_charger/charging_curve/10/power,dc_charger/charging_curve/11/percentage,dc_charger/charging_curve/11/power
Audi,Q6 e-tron,2024,75.8,19.2,3,11,225,0,225,50,225,80,112.5,100,45,FALSE,395,,,,,,,,,,,,,,,,,
Audi,e-tron Sportback 55 quattro,2020,86.5,22.8,3,11,155,0,155,50,155,80,93,100,46.5,FALSE,380,,,,,,,,,,,,,,,,,
Audi,Q4 e-tron 55 quattro,2023,77,19.5,3,11,175,0,175,50,175,80,87.5,100,35,FALSE,395,,,,,,,,,,,,,,,,,
Audi,A6 Avant e-tron,2024,75.8,16,3,11,225,0,225,50,225,80,112.5,100,45,FALSE,475,,,,,,,,,,,,,,,,,
Audi,A6 Sportback e-tron,2024,75.8,15.6,3,11,225,0,225,50,225,80,112.5,100,45,FALSE,485,,,,,,,,,,,,,,,,,
Audi,e-tron 50 quattro,2021,64.7,23.1,3,11,120,0,120,50,120,80,72,100,36,FALSE,280,,,,,,,,,,,,,,,,,
Audi,e-tron 55 quattro,2020,86.5,23.7,3,11,155,0,155,50,155,80,93,100,46.5,FALSE,365,,,,,,,,,,,,,,,,,
Audi,e-tron GT RS performance,2024,97,18.5,3,11,320,0,320,50,320,80,192,100,96,FALSE,525,18.5,,,,,,,,,,,,,,,,
Audi,Q4 Sportback e-tron 45,2023,77,17.7,3,11,150,0,150,20,150,40,120,60,90,TRUE,435,17.7,80,60,100,11,,,,,,,,,,,,
Audi,S6 Sportback e-tron,2024,94.9,17.3,3,11,270,0,270,50,270,80,162,100,81,FALSE,550,17.3,,,,,,,,,,,,,,,,
Audi,Q6 e-tron Sportback performance,2024,94.9,18.6,3,11,260,0,260,50,260,80,156,100,78,FALSE,510,18.6,,,,,,,,,,,,,,,,
