brand_name,brand_id,id,brand,model,vehicle_type,variant,release_year,usable_battery_size,energy_consumption/average_consumption,ac_charger/ports/0,ac_charger/usable_phases,ac_charger/max_power,dc_charger/ports/0,dc_charger/max_power,dc_charger/charging_curve/0/percentage,dc_charger/charging_curve/0/power,dc_charger/charging_curve/1/percentage,dc_charger/charging_curve/1/power,dc_charger/charging_curve/2/percentage,dc_charger/charging_curve/2/power,dc_charger/charging_curve/3/percentage,dc_charger/charging_curve/3/power,dc_charger/is_default_charging_curve,charging_voltage,url,status,error,updated_at,isFixingEmptyName,_manually_fixed_fields/0,battery_size,range,consumption,dc_charger/charging_curve/4/percentage,dc_charger/charging_curve/4/power,dc_charger/charging_curve/5/percentage,dc_charger/charging_curve/5/power,_manually_fixed_fields/1,energy_consumption/range,ac_charger/ports/1,type,dc_charger/charging_curve/6/percentage,dc_charger/charging_curve/6/power,dc_charger/charging_curve/7/percentage,dc_charger/charging_curve/7/power,dc_charger/charging_curve/8/percentage,dc_charger/charging_curve/8/power,dc_charger/charging_curve/9/percentage,dc_charger/charging_curve/9/power,dc_charger/charging_curve/10/percentage,dc_charger/charging_curve/10/power,_model_hash,ac_charger/phases,nominal_battery_size,battery_type,dc_charger/ports/1,dc_charger/charging_curve/11/percentage,dc_charger/charging_curve/11/power,dc_charger/ports/2
Artega,97d0d03a-63c6-4f33-99d7-6e944f71d7c5,1c9126d4-24d6-4e9f-a49d-15813fa49728,Artega,Karo,car,Range Plus,2020.0,14.4,7.2,type2,1.0,4.0,ccs,150.0,0.0,150.0,20.0,150.0,40.0,120.0,60.0,90.0,True,400.0,,,,,,,,,,80.0,60.0,100.0,11.0,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,1bc9503b-a552-0342-80fc-8249b7e8ffd0,Audi,GT,car,RS,2021.0,85.0,21.0,type2,3.0,11.0,ccs,268.0,0.0,254.6,75.0,268.0,100.0,11.0,,,True,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,e07f4154-56dd-ca68-aec2-c5849c3a0cb3,Audi,GT,car,quattro,2021.0,85.0,20.2,type2,3.0,11.0,ccs,268.0,0.0,254.6,75.0,268.0,100.0,11.0,,,True,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,3e99e8b9-dcea-755b-2b49-781757dd3946,Audi,Q4 Sportback e-tron,car,35,2021.0,52.0,17.6,type2,3.0,7.2,ccs,100.0,0.0,95.0,75.0,100.0,100.0,7.2,,,True,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,04baeaa4-6bfc-4700-a553-20748aab54be,Audi,Q4 Sportback e-tron,car,50 quattro ,2021.0,77.0,19.0,type2,3.0,11.0,ccs,125.0,0.0,125.0,35.0,125.0,70.0,65.0,80.0,65.0,False,400.0,,,,,,,,,,100.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,0ae12bf4-e82a-622b-f669-2fa7bdf4b2fb,Audi,Q4 e-tron,car,35,2021.0,52.0,18.2,type2,3.0,7.2,ccs,100.0,0.0,95.0,75.0,100.0,100.0,7.2,,,True,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,409a3d54-3dec-b5bb-5d6c-2a48749728c3,Audi,Q4 e-tron,car,40,2021.0,77.0,18.8,type2,3.0,11.0,ccs,125.0,0.0,125.0,35.0,125.0,70.0,62.0,80.0,62.0,False,400.0,,,,,,,,,,90.0,35.0,100.0,25.0,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,103ea134-544e-a2a4-b7e3-ef0d25fa5bb9,Audi,Q4 e-tron,car,45,2023.0,77.0,18.3,type2,3.0,11.0,ccs,135.0,0.0,128.3,75.0,135.0,100.0,11.0,,,True,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,6f9de791-c484-9c22-ba3c-306ace49de76,Audi,Q4 e-tron,car,50 quattro,2021.0,77.0,19.7,type2,3.0,11.0,ccs,125.0,0.0,125.0,35.0,125.0,70.0,65.0,80.0,65.0,False,400.0,,,,,,,,,,90.0,35.0,100.0,25.0,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,e0616632-4741-5ec5-4820-d65c719b2bfe,Audi,Q6 e-tron,car,performance,2024.0,94.9,19.8,type2,3.0,11.0,ccs,260.0,0.0,247.0,75.0,260.0,100.0,11.0,,,True,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,10299648-b518-4050-a174-0bb0df5f72fc,Audi,Q6 e-tron,car,quattro,2024.0,94.9,20.6,type2,3.0,11.0,ccs,270.0,0.0,256.5,75.0,270.0,100.0,11.0,,,True,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,e3656381-6eaa-14cb-4e52-b128d46c48ab,Audi,Q8 e-tron,car,50 quattro,2022.0,89.0,20.9,type2,3.0,11.0,ccs,155.0,0.0,147.3,75.0,155.0,100.0,11.0,,,True,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,a29d1b2b-3466-c468-abe2-3978f0afaa6f,Audi,Q8 e-tron,car,55 quattro,2022.0,106.0,21.0,type2,3.0,11.0,ccs,168.0,0.0,159.6,75.0,168.0,100.0,11.0,,,True,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,f987998c-3ca4-e816-e32f-bc49ac5013da,Audi,Q8 e-tron,car,Sportback 55 quattro,2022.0,106.0,20.2,type2,3.0,11.0,ccs,168.0,0.0,159.6,75.0,168.0,100.0,11.0,,,True,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,2184579a-c5f0-bf61-1331-f68260b58c96,Audi,SQ6 e-tron,car,,2024.0,94.9,21.3,type2,3.0,11.0,ccs,270.0,0.0,256.5,75.0,270.0,100.0,11.0,,,True,800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,c6a6bd26-6a8f-4ab7-baf3-6cfa057044e3,Audi,e-tron 50,car,,2019.0,65.0,22.7,type2,3.0,11.0,ccs,124.0,0.0,110.0,10.0,120.0,20.0,124.0,60.0,124.0,False,400.0,,,,,,,,,,70.0,100.0,80.0,77.0,,,,,100.0,22.0,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,059c028d-b2a6-4a8d-947a-158c7537b290,Audi,e-tron 50,car,22kW-AC,2019.0,65.0,22.7,type2,3.0,22.0,ccs,124.0,0.0,110.0,10.0,120.0,20.0,124.0,60.0,124.0,False,400.0,,,,,,,,,,70.0,100.0,80.0,77.0,,,,,100.0,22.0,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,a9a177bf-9ce5-4b67-b3ef-51af248b48c2,Audi,e-tron 55,car,,2019.0,86.5,23.4,type2,3.0,11.0,ccs,155.0,0.0,137.0,70.0,155.0,72.0,150.0,78.0,120.0,False,400.0,,,,,,,,,,82.0,105.0,100.0,50.0,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,27d7610e-9a77-498a-b1b5-28d4bc92cbf2,Audi,e-tron 55,car,22kW-AC,2019.0,86.5,23.4,type2,3.0,22.0,ccs,155.0,0.0,137.0,70.0,155.0,72.0,150.0,78.0,120.0,False,400.0,,,,,,,,,,82.0,105.0,100.0,50.0,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,cfaf82d8-0255-4e13-8bf7-2711ed619bfb,Audi,e-tron S,car,,2020.0,95.0,27.0,type2,3.0,22.0,ccs,188.0,0.0,182.0,40.0,188.0,50.0,154.0,60.0,112.0,False,400.0,,,,,,,,,,75.0,71.0,85.0,42.0,,,,,100.0,23.0,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,d5719a82-d898-45b5-a8f7-95cd89c9d886,Audi,e-tron S,car,Sportback,2020.0,86.5,27.0,type2,3.0,22.0,ccs,149.0,0.0,148.0,30.0,149.0,40.0,144.0,70.0,98.0,False,400.0,,,,,,,,,,85.0,59.0,100.0,27.0,,,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,c945af76-3df3-4f30-bc19-a3b4b1d83be9,Audi,e-tron GT quattro,car,,2021.0,85.0,20.2,type2,3.0,11.0,ccs,268.0,0.0,268.0,20.0,268.0,40.0,214.0,60.0,161.0,True,400.0,,,,,,charging_curve,,420.0,,80.0,107.0,100.0,11.0,,420.0,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,4c2c01f1-81ea-4c26-bc26-8d57ab2dbc33,Audi,A6 Sportback e-tron quattro,car,,2024.0,94.9,16.2,type2,3.0,11.0,ccs,270.0,0.0,270.0,50.0,270.0,80.0,162.0,100.0,81.0,False,400.0,,,,,,,,585.0,,,,,,,585.0,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,72539c24-2a60-48be-976e-7b309db2f579,Audi,e-tron GT RS,car,,2024.0,97.0,18.5,type2,3.0,11.0,ccs,320.0,0.0,320.0,50.0,320.0,80.0,192.0,100.0,96.0,False,400.0,,,,,,,,525.0,,,,,,,525.0,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,1cc5ae76-c065-4330-b08a-79c2323afc98,Audi,e-tron GT S,car,,2024.0,97.0,18.0,type2,3.0,11.0,ccs,320.0,0.0,320.0,50.0,320.0,80.0,192.0,100.0,96.0,False,400.0,,,,,,,,540.0,,,,,,,540.0,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,12aec4b8-620a-4daf-863f-4a78169ae7b5,Audi,A6 Avant e-tron quattro,car,,2024.0,94.9,17.7,type2,3.0,11.0,ccs,270.0,0.0,270.0,50.0,270.0,80.0,162.0,100.0,81.0,False,400.0,,,,,,,,535.0,,,,,,,535.0,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,dbd1a40b-c680-4af1-a58f-07d7486668bd,Audi,Q6 e-tron,car,,2024.0,75.8,19.2,type2,3.0,11.0,ccs,225.0,0.0,225.0,50.0,225.0,80.0,112.5,100.0,45.0,False,400.0,,,,,,,,395.0,,,,,,,395.0,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,61ba8028-b272-4e02-97a8-367f8cf89c55,Audi,e-tron Sportback 55 quattro,car,,2020.0,86.5,22.8,type2,3.0,11.0,ccs,155.0,0.0,155.0,50.0,155.0,80.0,93.0,100.0,46.5,False,400.0,,,,,,,,380.0,,,,,,,380.0,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,80a8992c-3246-4b00-b49d-e9d9ca153a4a,Audi,Q4 e-tron 55 quattro,car,,2023.0,77.0,19.5,type2,3.0,11.0,ccs,175.0,0.0,175.0,50.0,175.0,80.0,87.5,100.0,35.0,False,400.0,,,,,,,,395.0,,,,,,,395.0,,,,,,,,,,,,,,,,,,,,
Audi,89c2668c-0c50-4344-9386-93e4000f7673,f1f9e903-142e-486f-a2bf-ac30d523aa82,Audi,A6 Avant e-tron,car,,2024.0,75.8,16.0,type2,3.0,11.0,ccs,225.0,0.0,225.0,50.0,225.0,80.0,112.5,100.0,45.0,False,400.0,,,,,,,,475.0,,,,,,,475.0,,,,,,,,,,,,,,,,,,,,
