time_s,timesteps,episode_steps,total_minutes,total_cost_gbp,success,stranded,soc_final,remaining_km,charge_events,termination_reason,violations_repeat,violations_overlimit,violations_cooldown
1757184640,50,50,44.500223713646534,0.26086956521739124,1,0,0.17938311195528037,0.0,1,success,0,0,0
1757184642,73,23,65.12561521252798,0.5326086956521738,1,0,0.1498917707752026,0.0,2,success,0,0,0
1757184645,96,23,34.500223713646534,0.26086956521739124,1,0,0.31454538178860925,0.0,1,success,0,0,0
1757184648,135,39,34.500223713646534,0.26086956521739124,1,0,0.12158127841575507,0.0,1,success,0,0,0
1757184650,162,27,69.00044742729307,0.5326086956521738,1,0,0.17851475626856864,0.0,2,success,0,0,0
1757184652,173,11,34.500223713646534,0.26086956521739124,1,0,0.30741815430969877,0.0,1,success,0,0,0
1757184655,212,39,46.350648769574946,0.5326086956521738,1,0,0.23108091426042396,0.0,2,success,0,0,0
1757184657,230,18,59.00044742729307,0.5434782608695652,1,0,0.17481872062761858,0.0,2,success,0,0,0
1757184658,240,10,24.875279642058167,0.26086956521739124,1,0,0.1350061826165803,0.0,1,success,0,0,0
1757184659,252,12,34.500223713646534,0.2717391304347826,1,0,0.1341669358059881,0.0,1,success,0,0,0
1757184661,271,19,34.500223713646534,0.26086956521739124,1,0,0.13775159310448828,0.0,1,success,0,0,0
1757184663,292,21,34.500223713646534,0.2717391304347826,1,0,0.29597028613654036,0.0,1,success,0,0,0
1757184664,303,11,24.500223713646534,0.26086956521739124,1,0,0.1489495023763367,0.0,1,success,0,0,0
1757184666,325,22,24.500223713646534,0.26086956521739124,1,0,0.3115537204465761,0.0,1,success,0,0,0
1757184668,342,17,34.500223713646534,0.2717391304347826,1,0,0.3257940825211505,0.0,1,success,0,0,0
1757184670,362,20,24.500223713646534,0.26086956521739124,1,0,0.24935484585577006,0.0,1,success,0,0,0
1757184672,378,16,60.5006711409396,0.5217391304347825,1,0,0.17140241597263678,0.0,2,success,0,0,0
1757184673,394,16,34.500223713646534,0.26086956521739124,1,0,0.2418271447463787,0.0,1,success,0,0,0
1757184677,426,32,34.500223713646534,0.26086956521739124,1,0,0.2740798235029779,0.0,1,success,0,0,0
1757184679,451,25,34.500223713646534,0.26086956521739124,1,0,0.12465691923713891,0.0,1,success,0,0,0
1757184682,478,27,59.00044742729307,0.5434782608695652,1,0,0.17040115897878533,0.0,2,success,0,0,0
1757184687,536,58,79.00044742729307,0.5326086956521738,1,0,0.25770472308798387,0.0,2,success,0,0,0
1757184689,556,20,34.500223713646534,0.2717391304347826,1,0,0.14359731050689412,0.0,1,success,0,0,0
1757184692,583,27,62.80071588366891,0.5326086956521738,1,0,0.15150552533225,0.0,2,success,0,0,0
1757184692,590,7,24.500223713646534,0.26086956521739124,1,0,0.3423689654768548,0.0,1,success,0,0,0
1757184693,591,1,10.0,0.0,1,0,0.29132495497670247,0.0,0,success,0,0,0
1757184695,611,20,34.500223713646534,0.26086956521739124,1,0,0.13891902420145455,0.0,1,success,0,0,0
1757184698,664,53,82.75055928411633,0.7934782608695651,0,0,0.27638289690731294,0.9816133333333337,3,overlimit,0,1,0
1757184700,692,28,79.00044742729307,0.5326086956521738,1,0,0.1866562033131141,0.0,2,success,0,0,0
1757184706,740,48,60.5006711409396,0.5326086956521738,1,0,0.22771084505119615,0.0,2,success,0,0,0
1757184707,750,10,44.500223713646534,0.26086956521739124,1,0,0.15479128862379277,0.0,1,success,0,0,0
1757184710,783,33,59.00044742729307,0.5326086956521738,1,0,0.10438651098269744,0.0,2,success,0,0,0
1757184712,816,33,69.00044742729307,0.5326086956521738,1,0,0.09896016233161928,0.0,2,success,0,0,0
1757184713,831,15,44.500223713646534,0.21739130434782605,1,0,0.11147464071766189,0.0,1,success,0,0,0
1757184715,856,25,34.500223713646534,0.26086956521739124,1,0,0.14994970255897389,0.0,1,success,0,0,0
1757184716,870,14,24.500223713646534,0.26086956521739124,1,0,0.16654055144187413,0.0,1,success,0,0,0
1757184717,878,8,24.500223713646534,0.2717391304347826,1,0,0.23383206028301395,0.0,1,success,0,0,0
1757184718,896,18,34.500223713646534,0.26086956521739124,1,0,0.13795292346275445,0.0,1,success,0,0,0
1757184721,931,35,34.500223713646534,0.26086956521739124,1,0,0.23558825458210864,0.0,1,success,0,0,0
1757184722,947,16,62.80071588366891,0.5326086956521738,1,0,0.13919534430860553,0.0,2,success,0,0,0
1757184723,959,12,34.500223713646534,0.2717391304347826,1,0,0.2299749456191926,0.0,1,success,0,0,0
1757184725,979,20,46.80071588366891,0.5434782608695652,1,0,0.15056801804676442,0.0,2,success,0,0,0
1757184726,997,18,24.500223713646534,0.26086956521739124,1,0,0.3295079201223925,0.0,1,success,0,0,0
1757184727,1015,18,34.500223713646534,0.2717391304347826,1,0,0.13329903346789748,0.0,1,success,0,0,0
1757184730,1055,40,59.3755033557047,0.5326086956521738,1,0,0.22676142400281135,0.0,2,success,0,0,0
1757184733,1099,44,77.00089485458614,0.8043478260869564,0,0,0.2082554671341095,1.0039466666666677,3,overlimit,0,1,0
1757184734,1112,13,44.500223713646534,0.2717391304347826,1,0,0.14965544934577224,0.0,1,success,0,0,0
1757184736,1136,24,34.500223713646534,0.2717391304347826,1,0,0.1712152550382468,0.0,1,success,0,0,0
1757184738,1168,32,34.500223713646534,0.26086956521739124,1,0,0.11110478732469733,0.0,1,success,0,0,0
1757184739,1169,1,16.0,0.0,1,0,0.14462925489606435,0.0,0,success,0,0,0
1757184742,1223,54,69.00044742729307,0.5326086956521738,1,0,0.1401723924144684,0.0,2,success,0,0,0
1757184745,1258,35,24.500223713646534,0.26086956521739124,1,0,0.2148654735035832,0.0,1,success,0,0,0
1757184747,1289,31,34.500223713646534,0.2717391304347826,1,0,0.11590235346953205,0.0,1,success,0,0,0
1757184749,1318,29,64.50022371364653,0.2717391304347826,1,0,0.08631464408990455,0.0,1,success,0,0,0
1757184751,1341,23,34.500223713646534,0.2717391304347826,1,0,0.2702491562738019,0.0,1,success,0,0,0
1757184753,1368,27,44.500223713646534,0.2717391304347826,1,0,0.25255191735416144,0.0,1,success,0,0,0
1757184754,1373,5,34.500223713646534,0.2717391304347826,1,0,0.20363587318417872,0.0,1,success,0,0,0
1757184757,1422,49,59.00044742729307,0.5326086956521738,1,0,0.1600520716062612,0.0,2,success,0,0,0
1757184758,1438,16,24.500223713646534,0.2717391304347826,1,0,0.15105117314568867,0.0,1,success,0,0,0
1757184760,1465,27,34.500223713646534,0.2717391304347826,1,0,0.24938892278351873,0.0,1,success,0,0,0
1757184763,1501,36,62.80071588366891,0.5217391304347825,1,0,0.18969580195007013,0.0,2,success,0,0,0
1757184763,1507,6,24.500223713646534,0.26086956521739124,1,0,0.12915012549568275,0.0,1,success,0,0,0
1757184765,1534,27,59.00044742729307,0.5217391304347825,1,0,0.22900075157787445,0.0,2,success,0,0,0
1757184766,1550,16,34.500223713646534,0.26086956521739124,1,0,0.2511206238391658,0.0,1,success,0,0,0
1757184769,1584,34,59.00044742729307,0.5217391304347825,1,0,0.26918180517026724,0.0,2,success,0,0,0
1757184771,1606,22,24.500223713646534,0.26086956521739124,1,0,0.3454574941864256,0.0,1,success,0,0,0
1757184771,1615,9,34.500223713646534,0.26086956521739124,1,0,0.1423482152968435,0.0,1,success,0,0,0
1757184773,1641,26,34.500223713646534,0.26086956521739124,1,0,0.11390887588161003,0.0,1,success,0,0,0
1757184775,1660,19,69.00044742729307,0.5326086956521738,1,0,0.23998576226218468,0.0,2,success,0,0,0
1757184776,1676,16,34.500223713646534,0.26086956521739124,1,0,0.23267138223773895,0.0,1,success,0,0,0
1757184777,1688,12,34.500223713646534,0.26086956521739124,1,0,0.2368711982026413,0.0,1,success,0,0,0
1757184780,1730,42,60.2503355704698,0.26086956521739124,1,0,0.12305711913321107,0.0,1,success,0,0,0
1757184782,1751,21,34.500223713646534,0.12499999999999999,1,0,0.10984024330679963,0.0,1,success,0,0,0
1757184784,1779,28,62.80071588366891,0.5326086956521738,1,0,0.2817756570666466,0.0,2,success,0,0,0
1757184784,1786,7,24.500223713646534,0.2717391304347826,1,0,0.3109014527062786,0.0,1,success,0,0,0
1757184785,1797,11,24.500223713646534,0.2717391304347826,1,0,0.24556794326450235,0.0,1,success,0,0,0
1757184786,1803,6,34.500223713646534,0.26086956521739124,1,0,0.14808529034199872,0.0,1,success,0,0,0
1757184786,1804,1,10.0,0.0,1,0,0.26743468681662297,0.0,0,success,0,0,0
1757184789,1847,43,62.80071588366891,0.5326086956521738,1,0,0.16878111090335143,0.0,2,success,0,0,0
1757184791,1868,21,59.00044742729307,0.5326086956521738,1,0,0.1324442757987288,0.0,2,success,0,0,0
1757184791,1873,5,24.500223713646534,0.26086956521739124,1,0,0.3124261709605084,0.0,1,success,0,0,0
1757184793,1898,25,24.500223713646534,0.26086956521739124,1,0,0.2269230225794843,0.0,1,success,0,0,0
1757184794,1912,14,34.500223713646534,0.2717391304347826,1,0,0.14279863990053926,0.0,1,success,0,0,0
1757184796,1929,17,34.500223713646534,0.2717391304347826,1,0,0.1481188223832107,0.0,1,success,0,0,0
1757184798,1957,28,74.62583892617451,0.8043478260869564,0,0,0.3429953743300723,2.1999466666666674,3,overlimit,0,1,0
1757184798,1965,8,24.500223713646534,0.26086956521739124,1,0,0.22331866659779062,0.0,1,success,0,0,0
1757184799,1979,14,24.500223713646534,0.26086956521739124,1,0,0.11870708353116904,0.0,1,success,0,0,0
1757184800,1980,1,10.0,0.0,1,0,0.11715477516322521,0.0,0,success,0,0,0
1757184802,2020,40,59.00044742729307,0.5326086956521738,1,0,0.29327240862056125,0.0,2,success,0,0,0
1757184804,2034,14,34.500223713646534,0.26086956521739124,1,0,0.2986400220794525,0.0,1,success,0,0,0
1757184806,2066,32,66.35064876957495,0.5217391304347825,1,0,0.1016711904397272,0.0,2,success,0,0,0
1757184808,2095,29,49.00044742729307,0.5326086956521738,1,0,0.2670698936410993,0.0,2,success,0,0,0
1757184808,2099,4,24.500223713646534,0.2717391304347826,1,0,0.1429778831230076,0.0,1,success,0,0,0
1757184811,2131,32,34.500223713646534,0.2717391304347826,1,0,0.26553647309470124,0.0,1,success,0,0,0
1757184813,2163,32,59.00044742729307,0.5326086956521738,1,0,0.2476882977760121,0.0,2,success,0,0,0
1757184815,2189,26,59.00044742729307,0.5326086956521738,1,0,0.27878742657119887,0.0,2,success,0,0,0
1757184815,2190,1,10.0,0.0,1,0,0.30627187387892574,0.0,0,success,0,0,0
1757184817,2212,22,34.500223713646534,0.26086956521739124,1,0,0.3252720743127172,0.0,1,success,0,0,0
1757184819,2248,36,44.500223713646534,0.26086956521739124,1,0,0.2986177869813824,0.0,1,success,0,0,0
